contact,name,category,township,street,state
 0973011952,Aung Thapyay,Timber Merchants,Thaketa,"60/B, Aung Tha Pyay St., Ward (7-East),",Yangon Region
" 01371822 Ext.691, 095179053",Tin Win [U],Threads,Pabedan,"B Shed, Rm 411, Thein Gyi Market,",Yangon Region
 01537090,"Top Direction Industry Co.,Ltd.",Threads,Bahan,"7th Flr, U Wisara Rd., SBC Tower,",Yangon Region
,Yangon Store,Tiles [Wall/Floor],North Okkalapa ,"82,Padonmar St.,Nga Ward",Yangon
" 01642124, 095142735",Win Thiri,Tiles [Wall/Floor],Insein,"N/37, Thukha St., Phawh Kan Ward,",Yangon Region
" 01556997, 01544664, 01545963, 01555996",TMW Enterprise Ltd. [INAX Showroom],Tiles [Wall/Floor],Bahan,"56, Kaba Aye Pagoda Rd., Sasana Yeikthar Ward,",Yangon Region
 095173246,Win Lwin [U],Threads,Thaketa,"428, Nawarat 2nd St., Ward (8),",Yangon Region
" 09795811215, 01371800 Ext.409, 095504152",Thitsar Lwin [Thein Kabar],Threads,Pabedan,"Bldg 1/2, C Shed, Rm 25, G Flr, Thein Gyi Market,",Yangon Region
" 09263090895, 09254260337","Yangon Home Co.,Ltd.",Tiles [Wall/Floor],Insein,"6/D/36, Lan Thit Rd., Nant Thar Gone Ward,",Yangon Region
 09251046654,Thein Soe [U],Tiles [Wall/Floor],Insein,"49, Thukha St., Phawh Kan Ward,",Yangon Region
" 01545245, 01545257, 095017528, 095148420, 0973123287","Win, Than, Htay, Min Co.,Ltd. [Po Seng]",Tiles [Wall/Floor],Tarmwe,"365, Kyaikkasan Rd., Tarmway Gyee (Kha) Ward,",Yangon Region
 0931572825,"Forward Myanmar Technology Co.,Ltd.",Security Systems & Equipment,Hlaing,"Bldg 51, Rm 6, 4th St., Bayint Naung Housing,",Yangon Region
" 01241763, 095048196, 01240600 Ext.4693",Min Zaw [Flying Eagle],Sewing Machines & Accessories,Latha,"D Shed, Rm C/279/280, G Flr, Thein Gyi Market,",Yangon Region
" 019640154, 0943046111, 0943159999, 095141449",Theik Hti Shin [2],Tiles [Wall/Floor],Insein,"101 Shed, Rm 6, Shwe Wah St., Sawbwargyi Gone Warehouses,",Yangon Region
 0973212175,Aye Mya Khaing [Daw],Timber Merchants,Hlaing Thar Yar,"196, Taung Ngu St., Ward (1),",Yangon Region
" 0973038583, 09254208997, 0973240743, 095135952",Thamardi,Tiles [Wall/Floor],Sanchaung,"12, Ma U Pin St., Kyun Taw (South) Ward,",Yangon Region
 09795713723,Aung Zaw Moe [Ko],Timber Merchants,Insein,"822, Ywar Lel St., Sint Ngu Ward,",Yangon Region
 095507079,Aye Aye Win [Ma],Timber Merchants,Thaketa,"10/A,Myin Taw Thar Rd.,Ward (4-North)",Yangon
" 095165040, 098613184, 09798432586",Aye Chit [Daw],Timber Merchants,Thaketa,"3, Myin Taw Thar Rd., Corner of Man Pyay 2nd St.,Man Pyay Ward (3),",Yangon Region
" 01241763, 01242771 Ext.2042, 01240600 Ext.4693, 095048196, 09794014055",Min Zaw,Buttons & Sequins [Manu/Dist],Latha,"D Shed, Rm F/543/544, Underground, Thein Gyi Market,",Yangon Region
 0943193480,Aung Win Sein [U],Timber Merchants,South Okkalapa ,"Myittar Rd.,Mya Thida Co-op Shop Room,Ward (11)",Yangon Region
" 0943075184, 0943160009, 019690184",Aung Yadanar,Timber Merchants,North Okkalapa ,"660, May Darwi Rd., Sa Lein Ward,",Yangon Region
" 01700773, 0973011433, 095130545, 0973102649",Aung Zeya,Timber Merchants,Hlaing Thar Yar,"33, Aung Zeya St., Industrial Zone (7),",Yangon Region
" 018564911, 0973055708",Aung Thura [U],Timber Merchants,Thingangyun,"16, Loot Latt Yay St., Yangon Thit Ward,",Yangon Region
" 098636809, 01561246, 01565449, 01565663",Aung Thukha,Timber Merchants,South Okkalapa ,"70/71/72, Set Hmu 1st St., Industrial Zone,",Yangon Region
" 01251538, 01372344, 01384969, 01240937, 01245173",Hla Myint [U] & Sons,Laces,Pabedan,"112/B, 25th St., Upper Middle Block,",Yangon Region
 09259645115,Grees,Buttons & Sequins [Manu/Dist],Pabedan,"East B Shed, Rm 523, Bogyoke Aung San Market,",Yangon Region
" 095143822, 01245099, 01388220 [Res]",Kan Nyunt [U] + Tin Yi [Daw],Yarn,Pabedan,"B Shed, Rm 394, Thein Gyi Market,",Yangon Region
" 0931278241, 09262601862",Family,Buttons & Sequins [Manu/Dist],Pabedan,"East A Shed, Rm 32, Bogyoke Aung San Market,",Yangon Region
" 0931348264, 09421143572",Chan Myae,Sewing Machines & Accessories,Pabedan,"118, 25th St., Upper Middle Block,",Yangon Region
 01579073,Aung Thukha,Timber Merchants,South Okkalapa ,"123/126, Set Hmu 3rd St., Industrial Zone,",Yangon Region
 01545383,"Than Lwin Int'l Co.,Ltd.",Tiles [Wall/Floor],Bahan,"127/A, Shwe Gon Daing Rd., Infront Of Yuzana Hotel, Shwe Gon Daing (West) Ward,",Yangon Region
" 01240600 Ext.4849, 01370622 Ext.178, 01371822 Ext.178, 095005431, 095156267",Fuji U Kyi Maung,Yarn,Pabedan,"B Shed, Rm 353, Thein Gyi Market,",Yangon Region
 0973186411,"Sosuco Tile Cotto [Focus Enterprise Co.,Ltd.]",Tiles [Wall/Floor],North Okkalapa ,"Bldg H,Rm 1/2,Thiri Yadanar Retail/Wholesale Market",Yangon Region
" 018562094, 09254442029, 09791981896","Mecom Service Co.,Ltd.",Tender & Bidding Services,South Okkalapa ,"401/A, 14th Flr, Ward (3),",Yangon Region
 01521128,"Bagan Business Group Trading Co.,Ltd.",Construction Materials,Hlaing,"Bldg 5, Rm 2, MICT Park,",Yangon Region
" 0973052927, 0973155509",MCC,Sewing Machines & Accessories,Pabedan,"117, 25th St., Upper Middle Block,",Yangon Region
" 01387508, 01377501, 01387512","Basin Int'l Co.,Ltd.",Export & Import Companies,Dagon,"Rm 503, 5th Flr, La Pyayt Wun Plaza,",Yangon Region
" 01656622, 019699541~3","Elite Telecom Public Co.,Ltd.",Stock Share Service Companies,Mayangone,"Bldg A/9/10, Rm 1/2, Min Dhama Rd., Shwe Kabar Housing,",Yangon Region
" 095007140, 01205914, 095019981",Aye Mya Chan Thar,Textiles,Mingalar Taung Nyunt,"58, 122th St., Yae Twin Gone Ward,",Yangon Region
" 01200747 Ext.1162, 0973052227, 01200747 Ext.1079, 01228430 [Res]",Aung Tint [U],Textiles,Mingalar Taung Nyunt,"Rm G-39/40, G Flr, Yuzana Plaza,",Yangon Region
" 09250869733, 09263122858",Bawa Thit,Timber Merchants,North Okkalapa ,"116, Kanaung 10th St., Shwe Pauk Kan Industrial Zone,",Yangon Region
" 01240974, 01242775 Ext.2164",Poe,Buttons & Sequins [Manu/Dist],Latha,"D Shed, Rm F/592/593, Underground, Thein Gyi Market,",Yangon Region
 01559492,See Sar Soe San Group Of Companies,Export & Import Companies,Bahan,"7, Aye Yeik Thar 1st St., Saya San Ward,",Yangon Region
" 01293636, 09250455822",Pearl Yadanar [Garment Accessories & General Trading],Buttons & Sequins [Manu/Dist],Mingalar Taung Nyunt,"45, 118th St., Yae Twin Gone Ward,",Yangon Region
" 01387532, 01250723, 01242775 Ext.2185/2266, 0973240737, 0932124422",Pauk Si [U],Buttons & Sequins [Manu/Dist],Latha,"123, 24th St., Upper Block,",Yangon Region
" 0973135777, 0943008099, 0933884777, 0973214777, 0933882777",Autumn Dream Group of Companies,Construction Services,South Okkalapa ,"1/A/45, UZana St., Mya Thidar Housing,",Yangon Region
" 01687957, 01682283, 01687956, 01682076, 01682289, 01682674, 01682961","Benhur Trading Co.,Ltd.",Bathroom & Toilet Accessories,Hlaing Thar Yar,"40, Kanaung Min Thar Gyi St., Industrial Zone (1),",Yangon Region
" 0973096666, 0973064444","K Future Co.,Ltd.",Construction Services,Pabedan,"258/262, 12th Flr, Strand Rd., Classic Strand Condominium,",Yangon Region
" 01501404, 012305839","Asia Energy Supply & Services Co.,Ltd. [AESS]",Tender & Bidding Services,Kamayut,"Rm 108, 1st Flr, Bayint Naung Rd., Bayint Naung Tower 2/B,",Yangon Region
" 095159749, 0973050971",Nu Nu,Buttons & Sequins [Manu/Dist],Pabedan,"B Shed, Rm 358, Thein Gyi Market,",Yangon Region
" 09250366539, 095168907, 0973146980","ANC Fortune Winner Co.,Ltd.",Engineering Process Control/Instrumentation & Automation,Kyeemyin Daing,"21, G Flr, Tasaung Gyee St., Oh Bo Ward,",Yangon Region
,"Aung Import & Export Co.,Ltd.",Export & Import Companies,Insein,"105 Shed,Rm 4,Shwe Wah St.,Sawbwargyi Gone Warehouses",Yangon
" 01644502, 098633829, 095138518, 0943119135, 095028188","ATC [Aung Tine Chit Co.,Ltd.]",Export & Import Companies,Insein,"98 Shed, Rm 2/3, Shwe Wah St., Sawbwargyi Gone Warehouses,",Yangon Region
" 095148142, 0973045910, 0930324841, 01240600 Ext.4105/4299, 09261201448",Nyein Chan Yae Bo Bo,Sewing Machines & Accessories,Pabedan,"Bldg 3, C Shed, Rm 39~42, G Flr, Thein Gyi Market,",Yangon Region
" 0949258921, 09974379888, 01382284",Sein Shwe,Laces,Pabedan,"117, Rm 3/4, 25th St., Upper Middle Block,",Yangon Region
" 095402918, 095056989",Yaung Chi Oo,Tiles [Wall/Floor],Insein,"1031/A, Pyay Rd., 10 Mile, Saw Bwar Gyi Gone Ward,",Yangon Region
" 01646707, 01646510, 01644626, 095034781",707,Water Tanks,Insein,"4/10 Shed, Rm A/B/C/D, Kyauk Sein St., Sawbwargyi Gone Warehouses,",Yangon Region
" 01241271, 095131535, 01254282, 095131596","AL-Ameen Int'l Co.,Ltd.",Bathroom & Toilet Accessories,Pabedan,"549,2nd Flr,Maha Bandoola Rd.",Yangon Region
" 01249952, 0973023344, 095500535, 01240600 Ext.4134",Naing Star,Sewing Machines & Accessories,Pabedan,"C Shed, Rm 25/B, G Flr, Thein Gyi Market,",Yangon Region
"09969728190,09969728191",A1,,Thingangyun,"20, U San Phay Rd., Near Thingangyun Market, Sa-Lone/Thu Mingalar Ward",Yangon Region
" 01374613, 095007749",Aung,Bathroom & Toilet Accessories,Pabedan,"66, 28th St., Lower Middle Block,",Yangon Region
" 01243573, 095008146, 098620752, 01240600 Ext.4249, 01254371 [Res]",Naing Naing,Wool Products,Pabedan,"B Shed, Rm 323, Thein Gyi Market,",Yangon Region
" 095009827, 098617021",Aung Kyaw Thein,Wooden Products & Hardwood Shops,South Okkalapa ,"229, Waiza Yan Tar Rd., Ward (11),",Yangon Region
" 0973005378, 095148929, 095141454",Ayeyar Wun,Timber Merchants,North Dagon,"231/1, Bo Zinyaw St., Ward (30),",Yangon Region
" 0973153126, 09450003169, 09421090185",MMM,Sewing Machines & Accessories,Pabedan,"117, 25th St., Upper Middle Block,",Yangon Region
" 01548051, 01503695, 0973003116","Aluminium Empire Co.,Ltd.",Aluminium Frames & Furnitures,Tarmwe,"241, Kyaikkasan Rd., Byine Ywar Ma Ward,",Yangon Region
" 095418944, 09260555441, 0933335199","Essential World Home Decoration Co.,Ltd.",Electrical Goods Sales,Tarmwe,"161, Lay Daunt Kan Rd., Tarmway Lay Ward,",Yangon Region
" 01376192, 09250515244",Naing,Buttons & Sequins [Manu/Dist],Pabedan,"B Shed, Rm 340, Thein Gyi Market,",Yangon Region
" 09254030077, 09254030099","Eco-Life Co.,Ltd.",Construction & Contractor Equipment & Supplies,Thaketa,"274/D, 3rd Flr, Myin Taw Thar Rd., Infront Of MPPE Station, Man Pyay Ward (3),",Yangon Region
" 0973037877, 0973073284",Aye [U] & Sons,Timber Merchants,North Okkalapa ,"481/482, Wai Bar Gi St., Hta Wun Bae Ward,",Yangon Region
" 01695228, 09795670777, 09795670666, 09795670555",Aye [U] & Sons,Timber Merchants,North Okkalapa ,"351,Bo Tayza St.,Shwe Pauk Kan Industrial Zone",Yangon Region
 095173297,Barbu,Timber Merchants,Thaketa,"527, Myin Taw Thar Rd., Ward (4-South),",Yangon Region
 01370105,Thamar Arziawa,Laces,Pabedan,"138/B, 25th St., Upper Middle Block,",Yangon Region
 01249948,Tin Hla [U],Sewing Machines & Accessories,Pabedan,"117, Rm 2, 25th St., Upper Middle Block,",Yangon Region
" 095111929, 0973123891, 0973084195, 095188406",Swan Htet Aung,Embroidery Machines & Services,Hlaing Thar Yar,"302, Bo Aung Kyaw St., Ward (13),",Yangon Region
" 0973021688, 0973236957, 09450537727",De Dee,Bathroom & Toilet Accessories,Pabedan,"42, 28th St., Lower Middle Block,",Yangon Region
" 09261598970, 09450848828",Taw Win,Leather Goods Shops,Thaketa,"898/B, Myin Taw Thar Rd., Ward (4-North),",Yangon Region
" 01252927, 01382435, 01375061, 095004269, 0973130100","Star Light General Trading Co.,Ltd. [Sl]",Export & Import Companies,Pabedan,"72/A, 27th St., Lower Block,",Yangon Region
" 0931559698, 01701706, 01370622, 01371822 Ext.444",Shwe Min Thar,Wool Products,Pabedan,"B Shed, Rm 324, Thein Gyi Market,",Yangon Region
" 0973048171, 0973224926, 01382600 Ext.179",Seven Star,Buttons & Sequins [Manu/Dist],Pabedan,"117, Rm 6, 25th St., Upper Middle Block,",Yangon Region
" 0973172144, 09253708622",Shwe Wah,Buttons & Sequins [Manu/Dist],Pabedan,"B Shed, Rm 360, Thein Gyi Market,",Yangon Region
" 01655865, 01662706, 095105356, 09450024151","Dawna Myint Oo Co.,Ltd.",Bathroom & Toilet Accessories,Mayangone,"14/A, Pyay Rd., Near A-1 Bus Stop, Ward (5),",Yangon Region
" 095167606, 09785167606, 09450541482, 09975563617, 09253834141, 09253547800",Ba Myint [U] & Sons,Timber Merchants,Thaketa,"25/A/2, Myin Taw Thar Rd., Ward (4-North),",Yangon Region
 09264605061,Aye [U] & Sons,Timber Merchants,North Okkalapa ,"332, Bagan Rd., Shwe Paukkan Ward (14/5),",Yangon Region
 09457192403,C & C,Parquet Floorings,Kamayut,"16, Baho Rd., Ward (3),",Yangon Region
" 01642698, 01646511, 095019468, 09450024152","Dawna Myint Oo Co.,Ltd.",Bathroom & Toilet Accessories,Insein,"8/4 Shed, Rm E/F/G, Shwe Wah St., Sawbwargyi Gone Warehouses,",Yangon Region
" 09421000882, 09421000996, 09450045922","Diamond Standard [Diamond Construction Co.,Ltd.]",Construction Services,North Dagon,"A/56, U Wisara Rd., Industrial Zone,",Yangon Region
" 01618069, 0973086173","Champion Co.,Ltd.",Interior Decoration Materials & Services,Shwe Pyi Thar,"7/64, Seikkanthar St., Industrial Zone (3),",Yangon Region
" 01243413, 09963098708, 0973190804",Tin Aye [Ko],Laces,Pabedan,"136/1/A, 25th St., Upper Middle Block,",Yangon Region
" 01641829, 0943065777",Dawna Than Lwin,Bathroom & Toilet Accessories,Insein,"17 Shed, Rm 10, Padamyar 6th St., Sawbwargyi Gone Warehouses,",Yangon Region
" 01373450, 01243191, 01384951, 01384952, 01385037",Big M Enterprises Ltd.,Aluminium Frames & Furnitures,Pabedan,"72/B, 27th St., Lower Middle Block,",Yangon Region
 0973231220,Aye [U] & Sons,Timber Merchants,Shwe Pyi Thar,"67,Set Hmu Zone Rd.",Yangon Region
" 095089546, 095165071, 01684908, 0949222997",Aye Myittar,Timber Merchants,Hlaing Thar Yar,"1820~1822,P Moe Ninn St.,Ward (6)",Yangon Region
" 01246278, 095181538",Yoon Nu Hlwar,Fancy Stores,Latha,"113, 24th St., Upper Block,",Yangon Region
" 01250678, 01205163",Trust,Sewing Machines & Accessories,Pabedan,"130/132, 1st Flr, 25th St., Upper Middle Block,",Yangon Region
" 01382600 Ext.179, 0973048171, 0973224926",Seven Star,Sewing Machines & Accessories,Pabedan,"321/323, Rm 4, 25th St., Upper Middle Block,",Yangon Region
" 01200747 Ext.1544, 0973242494",Yamin Eain,Fancy Stores,Mingalar Taung Nyunt,"Rm H-47/48, G Flr, Yuzana Plaza,",Yangon Region
" 0949218603, 095174072, 0973109096",TTT,Sewing Machines & Accessories,Pabedan,"Bldg 4, C Shed, Rm 38, G Flr, Thein Gyi Market,",Yangon Region
" 018605078~9, 095130288, 095006968",Aung Nyunt [U] + Khin Aye [Daw],Textiles,Mingalar Taung Nyunt,"Rm G-035,G Flr,Shwe Mingalar Market",Yangon Region
" 01200448, 09262949105, 09795905749","Allwintex Co.,Ltd.",Textiles,Tarmwe,"24, 139th St., Ma U Gone Ward,",Yangon Region
" 09795791505, 0949327540","Asia Fashion [Aung Asia Fashion Co.,Ltd.]",Textiles,Mingalar Taung Nyunt,"Bldg 7, Rm 001, Aung Thapyay St., Yuzana Mingalar City Housing,",Yangon Region
" 095089546, 095161454, 01527441, 01517175, 01517405",Aye Myittar,Timber Merchants,Kyeemyin Daing,"10/12, Zay Gyi St., Corner of Kyee Myin Daing Kannar Rd.,Zay Gyi (West) Ward,",Yangon Region
 09261079927,Cherry,Timber Merchants,Hlaing Thar Yar,"142/143, Ta Pin Shwe Htee St., Ward (3),",Yangon Region
" 01206071, 01290141, 01202194, 095415265, 01293216 [Res]","Asia Emporium Co.,Ltd.",Textiles,Mingalar Taung Nyunt,"90, 123th St., Tha Pyay Gone Ward,",Yangon Region
" 01373394, 01248051, 01382600 Ext.181, 095197168, 0973203153",Kyaw Tint [U] & Family,Textile & Garment Accessories,Pabedan,"118/A, 25th St., Upper Middle Block,",Yangon Region
" 095016810, 095176279, 0973038441, 01200747 Ext.7222",222,Textiles,Mingalar Taung Nyunt,"Bldg 4, Rm 04, Hnin Si St., Yuzana Mingalar City Housing,",Yangon Region
" 09450012380, 0973039084","GYI Industries Co.,Ltd.",Thanakha,North Okkalapa ,"173, Bayint Naung St., Industrial Zone,",Yangon Region
" 0973099552, 095107993, 09254540719, 095008604","Fruitful Co.,Ltd.",Machinery & Spare Parts Dealers,Sanchaung,"77/E, Shin Saw Pu Rd., Shin Saw Pu Ward,",Yangon Region
" 01373450, 01248268, 01385037, 01243291, 01385115, 095123878, 01373450, 01248268","Glorious Seven Co.,Ltd. [Kendo]",Water Treatment Systems,Pabedan,"72, 27th St.,",Yangon Region
" 01647868, 01642580, 0973070755, 09253366255, 0973446688",Fuji,Parquet Floorings,Insein,"13 Shed, Rm 1, Pearl 7th St., Sawbwargyi Gone Warehouses,",Yangon Region
" 095151061, 095126389, 0973158900",Four Star,Interior Decoration Materials & Services,Insein,"33 Shed, Rm 6/7, Kyauk Sein 5th St., Sawbwargyi Gone Warehouses,",Yangon Region
" 09799646229, 0930510380, 0931784552",Chan Thar Aung,Timber Merchants,Kyeemyin Daing,"72, Nat Sin St., Ma Gyee Dan (North-East) Ward,",Yangon Region
 0973186411,"Focus Enterprise Co.,Ltd.",Bathroom & Toilet Accessories,North Okkalapa ,"Bldg H, Rm 1/2, Thiri Yadanar Retail/Wholesale Market,",Yangon Region
" 01571465, 0973024691","Focus Enterprise Co.,Ltd.",Bathroom & Toilet Accessories,South Okkalapa ,"186, Waiza Yan Tar Rd., Ward (11),",Yangon Region
" 01524609, 01514611, 01524917, 01508056, 01504422","Focus Enterprise Co.,Ltd.",Export & Import Companies,Sanchaung,"238, Pyay Rd., Near Myaynigone Bus Stop, Myae Ni Gone (South) Ward,",Yangon Region
" 095121105, 098601645, 09420110588, 09791726491, 09971590798, 0943176316, 09260528563, 0973140752, 09971116817",Chan Thar,Timber Merchants,South Dagon,"Rm 2/3, Pyi Htaung Su Rd., Khattar Bldg, Ward (26),",Yangon Region
" 0973108482, 095072170",Hla Shein [Daw] [Family],Textiles,Mingalar Taung Nyunt,"Rm 126, G Flr, Shwe Mingalar Market, Entrance (7) ,",Yangon Region
" 0930000087, 09252257799","G-7 Co.,Ltd.",Export & Import Companies,North Okkalapa ,"Bldg K, Rm 64~67, Thiri Yadanar Retail/Wholesale Market,",Yangon Region
" 0973205577, 0973224900, 018550385",Chan Thar,Timber Merchants,South Okkalapa ,"90/A/B, Set Hmu 6th St., Industrial Zone,",Yangon Region
" 01240762, 01370622 Ext.505, 095100521",Ever Top,Textiles,Pabedan,"B Shed, Rm 233/239, Thein Gyi Market,",Yangon Region
 0943065070,Hla Kywel [U],Textiles,Insein,"557, Thiri Yadanar 1st St., Pauk Taw Ward,",Yangon Region
" 09425016416, 09793270103",Dong Guan Jelly Colothig & Emboridery & Garment Accessories,Textiles,Mingalar Taung Nyunt,"Bldg 37, Rm 004, Aung Thapyay St., Yuzana Mingalar City Housing,",Yangon Region
" 095190479, 09798430747, 095190483",Doe Kalay,Textiles,Mingalar Taung Nyunt,"Rm 103, G Flr, Shwe Mingalar Market, Entrance (1),",Yangon Region
 09262222955,Cho Cho,Textiles,Mingalar Taung Nyunt,"Rm 578/620, 4th Flr, Shwe Mingalar Market, Car Parking (2),",Yangon Region
" 095167048, 09250515080, 0943084395, 01221989, 01370622 Ext.260",Galon Min,Textiles,Pabedan,"B Shed, Rm 302, Thein Gyi Market,",Yangon Region
" 09780818330, 09780818331",Everbright Decoration,Decorators & Decorating Materials,North Okkalapa ,"Bldg C, Rm 16, Thiri Yadanar Retail/Wholesale Market,",Yangon Region
" 01297073, 09250144326, 09254350869, 0932052582, 09972453067",Colour Sky,Textiles,Botahtaung,"70, 48th St., Upper Middle Block,",Yangon Region
" 09972257739, 095135307, 09965135307, 01541046 [Res]",Bo Su [U],Timber Merchants,Thaketa,"537, Myin Taw Thar Rd., Corner of Yamonnar Rd.,Ward (4-South),",Yangon Region
" 01618551~3, 01220546, 01229524","Forever Construction Material Co.,Ltd.",Export & Import Companies,Shwe Pyi Thar,"64/112, Pearl St., Industrial Zone (3),",Yangon Region
" 092173505, 095503864","Chan Mya Shwe Yee Co.,Ltd.",Timber Merchants,Mingalardon,"42, 6th St., Yangon Industrial Zone,",Yangon Region
" 09252608288, 09257761688","China and Myanmar Sunshine Trading Co.,Ltd.",Textiles,Mingalar Taung Nyunt,"Bldg 11, Rm 001, Aung Thapyay St., Yuzana Mingalar City Housing,",Yangon Region
" 095007796, 0931650147, 01646312",Lu Di Lin Aung (Ma Wai),,,"68-A/274 A, Min Gyi St.,  Baho St, Ywar Ma (East) Ward",Insein
" 09440229289, 095138413, 01600253",Bo Chan,Timber Merchants,Mingalardon,"199, Bo Tayza St., 3 Extension Ward,",Yangon Region
" 09450000959, 09450060955",Bawa Thit,Timber Merchants,Yankin,"82, Site Pyoe Yay Padaethar St., Ward (11),",Yangon Region
" 01545530, 01554646, 01554914",Bio Thanakha,Thanakha,Thingangyun,"Rm 1/2, Than Thu Mar Rd., Near Thuwunna Market, Thuwana/29 Ward,",Yangon Region
" 01561175, 0973737333, 098635008, 095009881, 095103783",Bawga Mandaing,Timber Merchants,South Okkalapa ,"41, Set Hmu 2nd St., Industrial Zone,",Yangon Region
" 09258777751, 09258777752 [Hot Line], 09258777753, 09258777754","Aspidin Construction & Trading Co.,Ltd.",Thanakha,Mayangone,"133/A, Mawyawaddy St., 8 Mile, Ward (5),",Yangon Region
" 01704081, 098631158, 09795344532, 09257079016",Taung Gyi Mauk Mai,,,"67/C, Rm 3B, 3rd Flr, Koh Min Koh Chin Rd.,   Near Of Shwe Gon Daing ,",Bahan
" 01214437, 01221612",Shwe Bo Min Tha Mee,,,"12, Nwe Ni St.,",Ahlone
" 095008042, 01229316",Hla Pa Waddy,,,"57 / B, 12th St.,",Lanmadaw
" 09773838839, 09973127508",Pan Myaing San,,,"Rm 3, Bldg Two Storey, Bogyoke Aung San Market, West Wing,",Pabedan
" 01200747 Ext.7127, 095047682, 095021261",Khaing Sandar Aung,Textiles,Mingalar Taung Nyunt,"Bldg 12, Rm 007, Sabei St., Yuzana Mingalar City Housing,",Yangon Region
" 01206294, 01200747 Ext.1323, 095042893",Kaday Kywel,Textiles,Mingalar Taung Nyunt,"Rm SP-3/5/7, G Flr, Yuzana Plaza,",Yangon Region
" 01556895, 0973006847","Grand Wynn Construction Co.,Ltd. [RAK Showroom]",Interior Decoration Materials & Services,Tarmwe,"124,Kyaikkasan Rd.,Pyar Yae Gone Ward",Yangon Region
" 09797446558, 095080102, 09788829558, 09250800078",Golden Top,Interior Decoration Materials & Services,Insein,"34 Shed, Rm 9, Kyauk Sein 4th St., Sawbwargyi Gone Warehouses,",Yangon Region
