name,category,street,contact,state,township
"Asia Food Int'l Co.,Ltd. [MGS Group of Company]",Warehouses [Fish Gravy/Fish Paste & Others],"Bldg 23/24, 3rd Flr, Bahosi Housing,"," 01223411, 01223412",Yangon Region,Lanmadaw
Aye Mya Chan Thar,Warehouses [Fish Gravy/Fish Paste & Others],"A/62, Gant Gaw St., Bayint Naung Warehouses,"," 01680352, 01683178, 095160452",Yangon Region,Mayangone
Saung Thazin,Warehouses [Dried Tea Leaves],"Ga Gyi Shed, Rm 261~270, Thiri Mingalar Market,"," 095113760, 019688630",Yangon Region,Hlaing
Hmwe,Warehouses [Dried Tea Leaves],"J/20-B, Ar Thaw Ka St., Bayint Naung Warehouses,"," 01682307, 01682353",Yangon Region,Mayangone
Kar Ka [U] + Sein [Daw],Warehouses [Dried Tea Leaves],"E/41, Ngu War St., Bayint Naung Warehouses,"," 01680324, 0973038889",Yangon Region,Mayangone
Shwe Myat Wun,VCD/DVD & Tapes Rental Services,"76, Kyauk Myaung St., Kyauk Myaung (East) Ward,", 09420187377,Yangon Region,Tarmwe
Htoo Thit,Warehouses [Rice],"J/25-A, Ar Thaw Ka St., Bayint Naung Warehouses,"," 01681940, 0973017466, 09254009040",Yangon Region,Mayangone
Aung Myittar,Warehouses [Fish Gravy/Fish Paste & Others],"A/84-A, Gant Gaw 2nd Lane, Bayint Naung Warehouses,"," 01680397, 0973057317",Yangon Region,Mayangone
Khaing Brother,Warehouses [Dried Tea Leaves],"L/4, Nwe Thar Gi St., Bayint Naung Warehouses,"," 01682271, 01683013, 095502418",Yangon Region,Mayangone
Shwe Min Thamee,VCD/DVD & Tapes Rental Services,"Rm 1, Wireless St., Wireless Market, Pyi Daw Thar Ward,"," 01635072, 09450017533",Yangon Region,Mingalardon
Shwe Myat Wun,VCD/DVD & Tapes Rental Services,"495, Baho St., Corner of Butar Yon Thit St.,(2/Kha) Ward,", 0931300030,Yangon Region,Mingalardon
Arkar,Warehouses [Fish Gravy/Fish Paste & Others],"A/64-A, Gant Gaw St., Bayint Naung Warehouses,"," 01682340, 01528545, 095017266",Yangon Region,Mayangone
Hla Myo [U],Warehouses [Rice],"F/62-B, Sein Pan St., Bayint Naung Warehouses,"," 01528610, 095117347",Yangon Region,Mayangone
Shwe Min Thamee,VCD/DVD & Tapes Rental Services,"8, Shwe Hnin Si St., Mont Let Saung Gone (South) Ward,"," 01502729, 09421113749",Yangon Region,Sanchaung
Htoo Htoo Sann,Warehouses [Rice],"A/35, Naung Yoe St., Bayint Naung Warehouses,"," 01686763, 0973048860, 095011077",Yangon Region,Mayangone
Eden,Warehouses [Rice],"A/108-A, Gant Gaw 1st Lane, Bayint Naung Warehouses,"," 01681903, 0973052981, 095110707",Yangon Region,Mayangone
Htoo,Warehouses [Rice],"I/20, Khattar St., Bayint Naung Warehouses,", 01680503,Yangon Region,Mayangone
Htoo Pyae Sone,Warehouses [Rice],"J/17, Ar Thaw Ka St., Bayint Naung Warehouses,"," 09783683411, 09783686379, 09785888825, 09785888823, 09265888825, 09265888823",Yangon Region,Mayangone
Polo,Warehouses [Dried Tea Leaves],"G/8, Sein Pan St., Bayint Naung Warehouses,"," 01680167, 01246130",Yangon Region,Mayangone
Htoo Kae,Warehouses [Rice],"K/14, Yuzana St., Bayint Naung Warehouses,"," 01681221, 09785076229, 0973236346",Yangon Region,Mayangone
Palaung Lay,Warehouses [Dried Tea Leaves],"G/3-A, Sein Pan St., Bayint Naung Warehouses,"," 095159653, 098616613, 0949300101",Yangon Region,Mayangone
CSW,Warehouses [Rice],"J/27-A, Ar Thaw Ka St., Bayint Naung Warehouses,"," 01682798, 019688619, 095142849, 095012575",Yangon Region,Mayangone
"Power Maw Shan Co.,Ltd.",Warehouses [Dried Tea Leaves],"G/30-B, Sein Pan St., Bayint Naung Warehouses,"," 01682395, 0943177709, 01683722 Ext.4254",Yangon Region,Mayangone
Nilar,Warehouses [Dried Tea Leaves],"G/24-B, Sein Pan St., Bayint Naung Warehouses,"," 01680864, 095025863",Yangon Region,Mayangone
Chue,Warehouses [Rice],"G/44-A, Padauk St., Bayint Naung Warehouses,"," 01681236, 095177709, 01683479, 095112304, 0973218856, 0931765554",Yangon Region,Mayangone
Five Diamond,Warehouses [Rice],"I/37-A, Khattar St., Bayint Naung Warehouses,"," 095333749, 09254259329, 09785333749",Yangon Region,Mayangone
Aung Than Kyaing [U],Warehouses [Flower],"Ka Gyi Shed, Rm 251, Thiri Mingalar Market,", 019688574,Yangon Region,Hlaing
Aung Kyaw Khant,Warehouses [General],"E/24, Yae Tamar St., Bayint Naung Warehouses,", 098610577,Yangon Region,Mayangone
Khit Thit,Warehouses [Rice],"J/64-B, Yuzana St., Bayint Naung Warehouses,", 01680925,Yangon Region,Mayangone
Aung Kaung Si,Warehouses [General],"D/45-A, Yae Tamar St., Bayint Naung Warehouses,"," 01680491, 0973135828",Yangon Region,Mayangone
Kaung Yar Zar,Warehouses [Rice],"H/39-B, Padauk St., Bayint Naung Warehouses,"," 01681215, 095131624",Yangon Region,Mayangone
Kaung San,Warehouses [Rice],"141, Nawaday 1st St., Corner of Nawaday St., Ward (1),"," 095130150, 095155325, 01686590",Yangon Region,Mayangone
Khaing Y  Win [Ko],Warehouses [Rice],"I/30-A, Khattar St., Bayint Naung Warehouses,"," 01680730, 0973159721, 095047032",Yangon Region,Mayangone
Olympic,Warehouses [Dried Tea Leaves],"G/27,Sein Pan St.,Bayint Naung Warehouses"," 01680257, 01683261",Yangon Region,Mayangone
Kaung Myat San,Warehouses [Rice],"Bldg 2, Rm 004, Yuzana St., Bayint Naung Warehouses,"," 01683224, 098552347, 0973214424",Yangon Region,Mayangone
Kaung Htet,Warehouses [Rice],"G/53-A, Padauk St., Bayint Naung Warehouses,"," 01680527, 09250043338",Yangon Region,Mayangone
Kaung Mon,Warehouses [Rice],"A/137-A, Khattar St., Bayint Naung Warehouses,"," 01680869, 095131604, 01683459",Yangon Region,Mayangone
Thurein Min,Warehouses [Dried Tea Leaves],"E/40-B, Ngu War St., Bayint Naung Warehouses,"," 01680106, 01686048",Yangon Region,Mayangone
Kaung San,Warehouses [Rice],"B/26, Naung Yoe St., Bayint Naung Warehouses,"," 09791717858, 09252269997",Yangon Region,Mayangone
Thar Lone [U],Warehouses [Dried Tea Leaves],"F/49/A, Sein Pan St., Bayint Naung Warehouses,"," 01680259, 09421075319",Yangon Region,Mayangone
Tet Nay Wun,Warehouses [Dried Tea Leaves],"E/31-B, Yae Tamar St., Bayint Naung Warehouses,"," 01680101, 01683431, 09965007275",Yangon Region,Mayangone
Padaethar,Warehouses [Dried Tea Leaves],"G/21, Sein Pan St., Bayint Naung Warehouses,"," 01680508, 09793680508, 01680815, 01686700",Yangon Region,Mayangone
Shwe Pyi Tan,Warehouses [Dried Tea Leaves],"F/75, Sein Pan St., Bayint Naung Warehouses,"," 01680529, 019688673, 01683063, 0973042576, 0973042581, 095121322",Yangon Region,Mayangone
Pin Pyo Ywet Nu,Warehouses [Dried Tea Leaves],"G/19-A, Sein Pan St., Bayint Naung Warehouses,"," 01680396, 01683250, 01373991, 0973195795, 0973095795, 0973095794",Yangon Region,Mayangone
Sein Thein Than Wai,Warehouses [Dried Tea Leaves],"G/17-A, Sein Pan St., Bayint Naung Warehouses,"," 095166763, 09252451129, 0973256842, 012300351",Yangon Region,Mayangone
Pearl,Warehouses [Dried Tea Leaves],"G/23, Sein Pan St., Bayint Naung Warehouses,"," 01682384, 01680525, 095087187, 01223499 [Res]",Yangon Region,Mayangone
"Shwin Chang Lone Mfg Co.,Ltd.",Warehouses [Dried Tea Leaves],"G/2, Sein Pan St., Bayint Naung Warehouses,"," 01683177, 0973176496, 01686489",Yangon Region,Mayangone
Kabar Kyaw,Warehouses [Rice],"G/51, Padauk St., Bayint Naung Warehouses,"," 01680637, 095640989, 095134509",Yangon Region,Mayangone
Shwe Nan Taw,Warehouses [Dried Tea Leaves],"J/23-A, Ar Thaw Ka St., Bayint Naung Warehouses,"," 01680941, 095101580, 095151728",Yangon Region,Mayangone
Sein Shwe Kyaw,Warehouses [Cooking Oil],"D/62-B, Yae Tamar St., Bayint Naung Warehouses,"," 01680419, 095337061, 0943008542, 09421142965, 01686664 [Res]",Yangon Region,Mayangone
Sein Brother,Warehouses [General],"E/32, Yae Tamar St., Bayint Naung Warehouses,"," 01680082, 01683321, 095117897, 01682528, 01686671, 095011935, 095110209, 098617592",Yangon Region,Mayangone
Nay Min,Warehouses [General],"A/82, Gant Gaw St., Bayint Naung Warehouses,"," 095501390, 095083052, 09250043260, 01680072, 01680381",Yangon Region,Mayangone
Nay La [Yangon-Taung Gyi],Transportation Services,"D/15-A, Aung Tha Pyay St., Bayint Naung Warehouses,"," 09250787428, 09420188602, 01680461, 0973035728",Yangon Region,Mayangone
Nilar,Warehouses [Chilli],"E/28-A, Yae Tamar St., Bayint Naung Warehouses,"," 01680190, 01682332, 092150370, 09450046240",Yangon Region,Mayangone
Shwe Hlaing Tun,Warehouses [Dried Tea Leaves],"F/58-A, Sein Pan St., Bayint Naung Warehouses,"," 01680856, 019688719",Yangon Region,Mayangone
Sein Saung,Warehouses [Dried Tea Leaves],"G/7-A, Sein Pan St., Bayint Naung Warehouses,"," 01680530, 01224872 [Res], 09791253386",Yangon Region,Mayangone
Yadanar Hein,Warehouses [Dried Tea Leaves],"G/25-A, Sein Pan St., Bayint Naung Warehouses,"," 01680526, 095118522, 01384779 [Res]",Yangon Region,Mayangone
Shwe Ohe Gyi,Rattan Goods,"G/29, Sein Pan St., Bayint Naung Warehouses,"," 01680251, 095131687, 01683050, 01372620, 09425008653",Yangon Region,Mayangone
Aung Ngwe Toe,Warehouses [Fruit],"Ka Gyi Shed, Rm 3/4/5, Thiri Mingalar Market,", 019688566,Yangon Region,Hlaing
Myeik,Warehouses [Fish Gravy/Fish Paste & Others],"A/16, Gant Gaw 3rd Lane, Bayint Naung Warehouses,"," 01680212, 0973151014, 095163464",Yangon Region,Mayangone
"Myanmar Golden Star [S & DC] Co.,Ltd.",Warehouses [Fish Gravy/Fish Paste & Others],"125, San Pya Oil Mill St., Yuzana Highway Complex, Ward (6),"," 09250854101, 09250085796",Yangon Region,Kamayut
Myat Thidar,Warehouses [Fish Gravy/Fish Paste & Others],"B/37, Gant Gaw St., Bayint Naung Warehouses,"," 01680686, 01680798, 01512723 [Res], 095014715",Yangon Region,Mayangone
Myanma Ah Kyaik,Warehouses [Fish Gravy/Fish Paste & Others],"Ga Gyi Shed, Rm 271/272/249/250, Thiri Mingalar Market,", 09420051827,Yangon Region,Hlaing
Kyaw [U] @ Maung Nge [U],Warehouses [Fish Gravy/Fish Paste & Others],"A/122-B, Gant Gaw St., Bayint Naung Warehouses,"," 095013133, 01680289, 01683218, 095006448, 0973034133",Yangon Region,Mayangone
Kyaw,Warehouses [Fish Gravy/Fish Paste & Others],"Za Myin Zwel Shed, Rm 119, Thiri Mingalar Market,"," 095146393, 0973066153",Yangon Region,Hlaing
Khaing Yadanar,Warehouses [Fish Gravy/Fish Paste & Others],"A/67, Gant Gaw St., Bayint Naung Warehouses,"," 01680370, 095061394",Yangon Region,Mayangone
Kan Thit Aung,Warehouses [Rice],"H/55-A, Ar Thaw Ka St., Bayint Naung Warehouses,"," 095008503, 01681003, 095407005",Yangon Region,Mayangone
Nawarat,Warehouses [Chilli],"O, Gant Gaw St., Bayint Naung Warehouses,"," 01681226, 095009376, 09450028645, 095044501, 0973026252",Yangon Region,Mayangone
Aung Myittar,Warehouses [Fruit],"Nga Shed, Rm 73/74, Thiri Mingalar Market,", 095212872,Yangon Region,Hlaing
Lin Yaung Chi,Warehouses [Rice],"J/2, Ar Thaw Ka St., Bayint Naung Warehouses,"," 01680782, 01683199, 095005338, 0973077088",Yangon Region,Mayangone
Lin Lin,Warehouses [Rice],"J/61/A, Yuzana St., Bayint Naung Warehouses,"," 01682290, 01686284, 01682976, 095005924, 09785005924",Yangon Region,Mayangone
Khaing Myittar [De De],Warehouses [Fish Gravy/Fish Paste & Others],"A/47, Gant Gaw St., Bayint Naung Warehouses,"," 01680031, 095157276, 095008901",Yangon Region,Mayangone
Aung Myittar,Warehouses [Fruit],"Ka Gyi Shed, Rm 130, Thiri Mingalar Market,", 0973077615,Yangon Region,Hlaing
"Myanmar Golden Star [S & DC] Co.,Ltd.",Warehouses [Fish Gravy/Fish Paste & Others],"125, San Pya Oil Mill St., Yuzana Highway Complex, Ward (6),"," 09250854101, 09250085796",Yangon Region,Kamayut
Shwe Tharaphu,Groceries,"Rm B/343, Underground, Nyaung Pin Lay Plaza,"," 01211233 Ext.532/411, 09254210571, 09250521039",Yangon Region,Lanmadaw
Myo Thit Sann,Warehouses [Bean/Pulse],"D/48, Yae Tamar St., Bayint Naung Warehouses,"," 01680492, 01682570, 095019070, 095148340, 01683074 [Res], 095149462",Yangon Region,Mayangone
Swe Thahar,Groceries,"Rm B/469/410, Underground, Nyaung Pin Lay Plaza,"," 0973121736, 09254880371, 01211233 Ext.529",Yangon Region,Lanmadaw
Sun,Warehouses [General],"D/59, Aung Tha Pyay St., Bayint Naung Warehouses,"," 01680312, 0973189242",Yangon Region,Mayangone
Shwe Moung [Maung],Warehouses [Chilli],"E/17-B, Yae Tamar St., Bayint Naung Warehouses,"," 01680041, 095138520, 0973096096",Yangon Region,Mayangone
Sun,Warehouses [Chilli],"D/12,Aung Tha Pyay St.,Bayint Naung Warehouses", 01680611,Yangon Region,Mayangone
Shwe Mate Set,Warehouses [Cooking Oil],"E/62, Ngu War St., Bayint Naung Warehouses,"," 01680990, 095154938, 01641473 [Res], 0931084044",Yangon Region,Mayangone
Shwe Hnin Si,Warehouses [General],"D/50-B, Yae Tamar St., Bayint Naung Warehouses,"," 01686259, 01686261, 01686260, 0973059167",Yangon Region,Mayangone
La Thar,Warehouses [Rice],"H/62, Ar Thaw Ka St., Bayint Naung Warehouses,"," 01680840, 01681279, 095020299, 0973152097",Yangon Region,Mayangone
Shwe Nadi,Warehouses [Chilli],"F/32-A, Ngu War St., Bayint Naung Warehouses,"," 01683126, 095131530",Yangon Region,Mayangone
Khin Khin Htay,Warehouses [General],"E/24-B, Yae Tamar St., Bayint Naung Warehouses,"," 01680096, 0973098877",Yangon Region,Mayangone
Phyar Pon,Warehouses [Fish Gravy/Fish Paste & Others],"A/73, Gant Gaw St., Bayint Naung Warehouses,"," 01680129, 01683016",Yangon Region,Mayangone
Lamin,Warehouses [Rice],"H/77, Ar Thaw Ka St., Bayint Naung Warehouses,"," 01681245, 01681246, 098623119",Yangon Region,Mayangone
Ngwe Min,Warehouses [Fish Gravy/Fish Paste & Others],"A/79, Gant Gaw St., Bayint Naung Warehouses,"," 01680380, 095106202, 01224371 [Res]",Yangon Region,Mayangone
Phoe Lamin,Warehouses [Fish Gravy/Fish Paste & Others],"B/47, Gant Gaw St., Bayint Naung Warehouses,"," 01680073, 0973033699",Yangon Region,Mayangone
Kyaw Myint Tun [U],Warehouses [General],"55,Rm 8/B,8th Flr,Shan Kone St.,Myae Ni Gone (North) Ward",,Yangon Region,Sanchaung
Padamyar U Thaung Lwin,Warehouses [Fish Gravy/Fish Paste & Others],"A/81, Gant Gaw St., Bayint Naung Warehouses,"," 01680398, 095107098",Yangon Region,Mayangone
Myo Thein,Warehouses [Fish Gravy/Fish Paste & Others],"A/165/166, Yoe Gyi Chaung St., Bayint Naung Warehouses,"," 01683370, 01683319, 095117965",Yangon Region,Mayangone
Nadi Ayeyar,Warehouses [Fish Gravy/Fish Paste & Others],"A/60, Gant Gaw St., Bayint Naung Warehouses,"," 095003927, 01682398, 095114613, 01683120, 01683456",Yangon Region,Mayangone
Myo Thein,Warehouses [Fish Gravy/Fish Paste & Others],"A/70/71, Gant Gaw St., Bayint Naung Warehouses,"," 01680806, 095079531, 01682248, 01683125",Yangon Region,Mayangone
Latt Yway Sin,Warehouses [Rice],"G/70-A, Padauk St., Bayint Naung Warehouses,", 01680152,Yangon Region,Mayangone
"Tun Hla Trading Co.,Ltd.",Warehouses [Chilli],"C/45, Aung Tha Pyay St., Bayint Naung Warehouses,"," 01680382, 095003469, 01680365, 01683228, 095110782",Yangon Region,Mayangone
Thitsar Mandaing [U Wan Sein & Sons],Warehouses [General],"E/15-A, Yae Tamar St., Bayint Naung Warehouses,", 01682379,Yangon Region,Mayangone
Thin Thin Sein [Ma],Groceries,"Rm D/1/2, Underground, Nyaung Pin Lay Plaza,", 09420148343,Yangon Region,Lanmadaw
"Thein Tan [U, Family]",Warehouses [General],"D/37-B, Yae Tamar St., Bayint Naung Warehouses,"," 01680995, 0973150405",Yangon Region,Mayangone
Toe Tet Aung [Yangon-Pathein],Warehouses [General],"D/2-A, Aung Tha Pyay St., Bayint Naung Warehouses,"," 01680797, 098551211, 01682079, 095127746",Yangon Region,Mayangone
Thein,Warehouses [General],"D/57-B, Yae Tamar St., Bayint Naung Warehouses,"," 01680452, 01681212, 095007198, 0973028687, 01687179 [Res]",Yangon Region,Mayangone
Than Tayar,Warehouses [Cooking Oil],"D/34-A, Yae Tamar St., Bayint Naung Warehouses,"," 01686040, 01682159, 095155925, 01528546",Yangon Region,Mayangone
Kaung Set,Warehouses [General],"D/21-B, Aung Tha Pyay St., Bayint Naung Warehouses,"," 01683251, 01680753, 0973031909, 095102503",Yangon Region,Mayangone
Shwe Hnin Si,Beans & Pulses,"Rm B/342, Underground, Nyaung Pin Lay Plaza,"," 01211233 Ext.411, 09254210571, 09250521039",Yangon Region,Lanmadaw
Myeik Padamyar,Warehouses [Fish Gravy/Fish Paste & Others],"A/35, Gant Gaw 3rd Lane, Bayint Naung Warehouses,"," 01680140, 01683014, 095013832, 0973067754",Yangon Region,Mayangone
Myintzu Aung,Warehouses [Fish Gravy/Fish Paste & Others],"B/44-A, Gant Gaw St., Bayint Naung Warehouses,"," 01683692, 095005174",Yangon Region,Mayangone
Kyaw Family,Warehouses [General],"F/14-A, Ngu War St., Bayint Naung Warehouses,"," 01680182, 0973050300, 01228499 [Res], 0973050600",Yangon Region,Mayangone
Kaung Sone,Warehouses [General],"G/27-B, Sein Pan St., Bayint Naung Warehouses,"," 01708686, 09420056023, 01683261, 095502112, 095168574, 09799940711",Yangon Region,Mayangone
Htet,Warehouses [General],"E/43-A, Ngu War St., Bayint Naung Warehouses,"," 01681362, 0949292010, 095044485",Yangon Region,Mayangone
Kaung Mhan Hein,Warehouses [General],"A/1, Gant Gaw 3rd Lane, Bayint Naung Warehouses,"," 09421724943, 09261115528",Yangon Region,Mayangone
Kyan Tine Aung,Warehouses [Rice],"H/29-A, Padauk St., Bayint Naung Warehouses,"," 01680445, 0973162020, 09965162020",Yangon Region,Mayangone
Shwe,Warehouses [Fish Gravy/Fish Paste & Others],"Ga Nge Shed, Thiri Mingalar Market,"," 01708386, 0973066891",Yangon Region,Hlaing
Kyar Khaung,Warehouses [Rice],"G/62-B, Padauk St., Bayint Naung Warehouses,"," 01680147, 01683024, 095012788, 095175330, 01683174, 098619099",Yangon Region,Mayangone
Taung Paw Thar,Groceries,"L/4, Gant Gaw St., Bayint Naung Warehouses,"," 095189327, 0932227356",Yangon Region,Mayangone
Sein Myittar,Warehouses [Fish Gravy/Fish Paste & Others],"A/30, Gant Gaw 3rd Lane, Bayint Naung Warehouses,"," 01680354, 01680094",Yangon Region,Mayangone
Nadi Ayeyar,Warehouses [Fish Gravy/Fish Paste & Others],"B/41-B, Gant Gaw St., Bayint Naung Warehouses,"," 01683456, 095003927, 01683120, 01682398, 095114613",Yangon Region,Mayangone
Sein Myittar,Warehouses [Fish Gravy/Fish Paste & Others],"A/9, Gant Gaw 3rd Lane, Bayint Naung Warehouses,"," 01680092, 01680354, 01680094",Yangon Region,Mayangone
Kabar Gyi,Warehouses [General],"A/69, Gant Gaw St., Bayint Naung Warehouses,"," 01680379, 095054281",Yangon Region,Mayangone
Sann Thit,Warehouses [Fish Gravy/Fish Paste & Others],"A/53,Gant Gaw St.,Bayint Naung Warehouses"," 01680051, 0973031542",Yangon Region,Mayangone
Pyi Kyaw,Warehouses [Fish Gravy/Fish Paste & Others],"A/57-A, Gant Gaw St., Bayint Naung Warehouses,"," 01680818, 095192950",Yangon Region,Mayangone
Sann Pwint,Warehouses [Fish Gravy/Fish Paste & Others],"A/67, Gant Gaw St., Bayint Naung Warehouses,"," 01680181, 095011814, 095171553",Yangon Region,Mayangone
Pyae Say,Warehouses [Fish Gravy/Fish Paste & Others],"B/71, Gant Gaw 4th Lane, Bayint Naung Warehouses,"," 01681909, 095118882, 095092718, 0973218648",Yangon Region,Mayangone
Sein Myittar,Warehouses [Fish Gravy/Fish Paste & Others],"A/48, Gant Gaw St., Bayint Naung Warehouses,"," 01680094, 01680354, 01680092, 01683464",Yangon Region,Mayangone
Zeyar Theiddi,Warehouses [General],"A/82, Gant Gaw St., Bayint Naung Warehouses,"," 01704718, 0949666223, 09254714437",Yangon Region,Mayangone
Ingyin Htike,Warehouses [General],"B/34, Kha Yae St., Bayint Naung Warehouses,"," 098515419, 09258238188, 098628402",Yangon Region,Mayangone
Tun Lin Aung,Warehouses [General],"D/39-A, Yae Tamar St., Bayint Naung Warehouses,"," 01680432, 095030178, 01686740",Yangon Region,Mayangone
KK,Warehouses [Rice],"I/37-B, Khattar St., Bayint Naung Warehouses,"," 01683133, 095161219, 095162091",Yangon Region,Mayangone
Y  Tun [U],Warehouses [Chilli],"C/38, Aung Tha Pyay St., Bayint Naung Warehouses,"," 01680424, 01528721, 01686210, 01243948 [Res], 0973032375, 095010578, 09783551252, 01243948",Yangon Region,Mayangone
Moe San,Warehouses [General],"E/37, Ngu War St., Bayint Naung Warehouses,"," 01680885, 0973072962, 095110742, 0973016335",Yangon Region,Mayangone
Kyan Ni,Warehouses [Rice],"WS/25, Kyun Shwe Wah St., Bayint Naung Warehouses,"," 01528827, 098616600",Yangon Region,Mayangone
Mitharsu,Warehouses [General],"D/43/45, Yae Tamar St., Bayint Naung Warehouses,"," 0973195803, 0973193623",Yangon Region,Mayangone
Yadanar Aung,Warehouses [General],"C/39-A, Aung Tha Pyay St., Bayint Naung Warehouses,", 0973080071,Yangon Region,Mayangone
Tin May [Daw],Warehouses [Fish Gravy/Fish Paste & Others],"A/77, Gant Gaw St., Bayint Naung Warehouses,"," 095003044, 01680389, 01683262, 09420077575, 0973053203",Yangon Region,Mayangone
Pyae Sone,Warehouses [Fish Gravy/Fish Paste & Others],"A/74, Gant Gaw St., Bayint Naung Warehouses,"," 095011926, 09964680602, 09964680372",Yangon Region,Mayangone
Thura,Warehouses [Fish Gravy/Fish Paste & Others],"Za Myin Zwel Shed, Rm 11/135, Thiri Mingalar Market,"," 095145932, 095193160",Yangon Region,Hlaing
Pyae Say,Warehouses [Fish Gravy/Fish Paste & Others],"B/58, Gant Gaw 4th Lane, Bayint Naung Warehouses,"," 01681909, 095092718, 095118882, 0973218648",Yangon Region,Mayangone
Soe Thiri,Warehouses [Fish Gravy/Fish Paste & Others],"B/153, Gant Gaw St., Bayint Naung Warehouses,"," 01686710, 0943159791, 09965189605, 0943055293",Yangon Region,Mayangone
Mya Sein,Warehouses [Rice],"H/53-B, Ar Thaw Ka St., Bayint Naung Warehouses,"," 098636143, 095105895, 09261477559",Yangon Region,Mayangone
Moe San,Warehouses [General],"E/37, Ngu War St., Bayint Naung Warehouses,"," 01680885, 0973016335, 095110742, 0973072962",Yangon Region,Mayangone
Mya Gone Yee,Warehouses [Rice],"J/23-B, Ar Thaw Ka St., Bayint Naung Warehouses,"," 01682504, 098640589, 095031572, 09250034466",Yangon Region,Mayangone
Kyal Thone Pwint,Warehouses [Rice],"J/26-B, Ar Thaw Ka St., Bayint Naung Warehouses,"," 01682492, 095021631",Yangon Region,Mayangone
Mon Myat Thu,Warehouses [Rice],"H/49-B, Ar Thaw Ka St., Bayint Naung Warehouses,"," 01680634, 095000554, 019662269",Yangon Region,Mayangone
Moe Zaw Tin [U],Warehouses [Rice],"G/57-A, Padauk St., Bayint Naung Warehouses,", 01680516,Yangon Region,Mayangone
Mitharsu,Warehouses [General],"D/46/47, Yae Tamar St., Bayint Naung Warehouses,"," 01683213, 01680493, 01680103, 01682275, 01512943 [Res], 095105249",Yangon Region,Mayangone
Mauk Kywel,Warehouses [Rice],"H/57, Ar Thaw Ka St., Bayint Naung Warehouses,", 01683102,Yangon Region,Mayangone
Lwin Pyi,Warehouses [Rice],"H/67, Ar Thaw Ka St., Bayint Naung Warehouses,", 01686378,Yangon Region,Mayangone
Thuzar [Ma],Warehouses [Fish Gravy/Fish Paste & Others],"Ga Gyi Shed, Rm 347, Thiri Mingalar Market,"," 0973105846, 0973112409",Yangon Region,Hlaing
Mya Nadi,Warehouses [Rice],"G/78, Padauk St., Bayint Naung Warehouses,"," 01682521, 01680538, 096802081, 095070198, 0943095966",Yangon Region,Mayangone
Than Than Win,Warehouses [Fish Gravy/Fish Paste & Others],"A/82,Gant Gaw St.,Bayint Naung Warehouses"," 01680381, 095122950, 012300986 [Res]",Yangon Region,Mayangone
Thiri Moe,Warehouses [Fish Gravy/Fish Paste & Others],"Ga Gyi Shed, Rm 289/290, Thiri Mingalar Market,", 095041023,Yangon Region,Hlaing
Lwin,Warehouses [Rice],"H/61-B, Ar Thaw Ka St., Bayint Naung Warehouses,"," 01681477, 01686378, 095050393",Yangon Region,Mayangone
Shwe Pyi,Warehouses [Fish Gravy/Fish Paste & Others],"Ga Gyi Shed, Rm 161~170, Thiri Mingalar Market,"," 095035834, 09794442291",Yangon Region,Hlaing
Shwe Pyi Soe,Warehouses [Fish Gravy/Fish Paste & Others],"A/68-B, Gant Gaw St., Bayint Naung Warehouses,"," 01683105, 019688692, 0973028541",Yangon Region,Mayangone
Kyee Tan [U] + Myint Myint [Daw],Warehouses [General],"D/38, Yae Tamar St., Bayint Naung Warehouses,"," 01681026, 01680533, 01682650",Yangon Region,Mayangone
Shwe Hinthar,Warehouses [Fish Gravy/Fish Paste & Others],"A/56, Gant Gaw St., Bayint Naung Warehouses,"," 01680298, 095013433, 0973066483",Yangon Region,Mayangone
Shwe Pyi Thit,Warehouses [Fish Gravy/Fish Paste & Others],"B/64-A, Gant Gaw St., Bayint Naung Warehouses,"," 01683550, 095078458, 095311255",Yangon Region,Mayangone
Moe Kaung Kin,Warehouses [Rice],"I/37/A,1st Flr,Khattar St.,Bayint Naung Warehouses"," 01683473, 095137005",Yangon Region,Mayangone
Aung Moe [Ko],Warehouses [Fruit],"Ka Gyi Shed, Rm 12/13, Thiri Mingalar Market,"," 095185265, 09420081032",Yangon Region,Hlaing
Kyaw [U],Warehouses [General],"G/26-A, Sein Pan St., Bayint Naung Warehouses,"," 01681243, 09259999200, 09458043391",Yangon Region,Mayangone
Kyaw Thu [U],Warehouses [General],"A/18, Gant Gaw 3rd Lane, Bayint Naung Warehouses,", 09792956485,Yangon Region,Mayangone
Moe Pearl,Warehouses [Rice],"B/49-B, Gant Gaw St., Bayint Naung Warehouses,"," 01682760, 095191502, 0973037180",Yangon Region,Mayangone
Zabu Thein,Warehouses [Fish Gravy/Fish Paste & Others],"A/127, Gant Gaw St., Bayint Naung Warehouses,"," 095004068, 01682204, 01680069, 01683071, 095015966, 09787171501",Yangon Region,Mayangone
Aung Kabar,Warehouses [Fruit],"Kha Shed, Rm 25/26/27/28, Thiri Mingalar Market,"," 01657124, 098572391, 095147096",Yangon Region,Hlaing
"Min Ohn Phay Int'l Trading Co.,Ltd.",Warehouses [General],"C/56, Aung Tha Pyay St., Bayint Naung Warehouses,"," 095024441, 09252550932",Yangon Region,Mayangone
Zaw,Warehouses [Fish Gravy/Fish Paste & Others],"A/78, Gant Gaw St., Bayint Naung Warehouses,"," 01680484, 095133249, 01680376, 01680931, 0973244526",Yangon Region,Mayangone
