name,street,category,township,contact,state
John,"1556/A,Kyan Sit Thar St.,Ward (19)",Mobile Phone Repairing & Services,Hlaing Thar Yar(Hlaing Thar Yar),"tel: 09-250711115,tel: 09-420084008",Yangon Region
Jastin,"30, 120th St., Yae Twin Gone Ward,",Mobile Phone Repairing & Services,Mingalar Taung Nyunt(Mingalar Taung Nyunt),"tel: 09-421180561,tel: 09-420735664",Yangon Region
Dream World [DW],"163, Theingar St., Thuwana/24 Ward,",,အမွတ္ ၁၆၃၊ သိဂၤါလမ္း၊ ၂၄/သု၀ဏၰရပ္ကြက္၊,"tel: 01-563591,tel: 09-5044283,tel: 09-43088952",Thingangyun
Yè Htut,"309, Thakhin Phoe Hla Gyi St., Ward (43),",Motorcycle Repair,North Dagon(North Dagon),"tel: 09-795598494,tel: 09-260657179",Yangon Region
J.L,"Rm V-7~10, 1st Flr, Yuzana Plaza,",Mobile Phone Repairing & Services,Mingalar Taung Nyunt(Mingalar Taung Nyunt),"tel: 09-254998897,tel: 09-458040704",Yangon Region
Japan Gyi,"Bldg 43, Rm E/1, Thar Yar Yae Yone St., Mahar Myaing Housing,",Mobile Phone Repairing & Services,North Dagon(North Dagon),"tel: 09-250794764,tel: 09-960759594",Yangon Region
Yè Lin Aung,"896, Yadanar Pon St., Ward (22),",Motorcycle Repair,South Dagon(South Dagon),tel: 09-425033675,Yangon Region
"Shwe Super Light Co.,Ltd. [Linn Distribution]","Rm 9/10, Kon Zay Dan St., Maha Thein Daw Gyi,",Mosquito Repellent,Pabedan(Pabedan),tel: 01-250040,Yangon Region
Shwe Kyauk Taing,"D Shed, Rm B/185/190, Underground, Thein Gyi Market,",Mosquito Repellent,Latha(Latha),"tel: 01-240600 Ext.4732,tel: 09-30002392",Yangon Region
Yè Win [U],"744, Bayint Naung Rd., Ywar Ma (West) Ward,",Motorcycle Repair,Insein(Insein),tel: 09-428040532,Yangon Region
Shwe Hnin Si Shwe Sabei,"Rm L-52, G Flr, Yuzana Plaza,",Mosquito Repellent,Mingalar Taung Nyunt(Mingalar Taung Nyunt),"tel: 01-206095,tel: 01-200747 Ext.1098,tel: 09-5120106,tel: 01-551392 [Res]",Yangon Region
J Max,"963, Thudhamar Rd., Za Myin Zwel Ward,",Mobile Phone Repairing & Services,North Okkalapa (North Okkalapa ),"tel: 09-450026761,tel: 09-254768880",Yangon Region
"Thidar Shwe Zin Co.,Ltd.","20/A, Daw Hla Pan St., Ward (2),",Mosquito Repellent,Mayangone(Mayangone),"tel: 09-5178649,tel: 01-664683,tel: 01-667516",Yangon Region
IT United,"865/B, Myittar Rd., Ward (10),",Mobile Phone Repairing & Services,South Okkalapa (South Okkalapa ),"tel: 09-73151336,tel: 09-251058494",Yangon Region
IT Zone,"546/B, Khaing Thazin St., Ward (11),",Mobile Phone Repairing & Services,Hlaing Thar Yar(Hlaing Thar Yar),"tel: 09-73083880,tel: 09-250869998",Yangon Region
Rose,"92/B, Set Hmu 3rd St., Industrial Zone,",Mosquito Repellent,South Okkalapa (South Okkalapa ),"tel: 01-8550512,tel: 01-8550421,tel: 01-246223,tel: 09-5008472",Yangon Region
"Power House Co.,Ltd.","72, Kanaung Min Thar Gyi St., Industrial Zone (4),",Mosquito Repellent,Shwe Pyi Thar(Shwe Pyi Thar),"tel: 01-618317,tel: 01-618722,tel: 01-618723",Yangon Region
It Garden,"25, Ngar Man Aung Pagoda St. , Ward (33),",Mobile Phone Repairing & Services,North Dagon(North Dagon),"tel: 09-252874230,tel: 09-979293119",Yangon Region
Rose Insecticide Works,"129, 33rd St., Upper Middle Block,",Mosquito Repellent,Kyauktada(Kyauktada),"tel: 01-246223,tel: 09-5501041,tel: 01-8550512",Yangon Region
John,"395/B, 3rd St.[North], Gyoh Gone (East) Ward,",Mobile Phone Repairing & Services,Insein(Insein),tel: 09-253575050,Yangon Region
"Power House Co.,Ltd.","210, 39th St., Upper Middle Block,",Mosquito Repellent,Kyauktada(Kyauktada),"tel: 01-387489,tel: 01-391084,tel: 09-5000488",Yangon Region
Yamaha,"530/A,Anawrahta Rd.,Ward (11)",Motorcycle Repair,Hlaing Thar Yar(Hlaing Thar Yar),tel: 09-420297126,Yangon Region
MTZ,"Rm S/7, G Flr, Nyaung Pin Lay Plaza,",Soft Drinks/Juices & Beverages,Lanmadaw(Lanmadaw),"tel: 01-210195,tel: 09-5185495",Yangon Region
Yaung Ni Oo,"32, No.(4) Main Rd., Near Phone Gyi Kyaung Bus Stop, Zee Kone Ward,",Motorcycle Repair,Shwe Pyi Thar(Shwe Pyi Thar),tel: 09-263345933,Yangon Region
"MM Import & Export Co.,Ltd.","498, Maha Bandoola Rd.,",Export & Import Companies,Pabedan(Pabedan),"tel: 01-251404,tel: 01-389909,tel: 01-372354",Yangon Region
"Diesel King Co.,Ltd.","104/116, Set Hmu 7th St., Industrial Zone (1),",Toothpastes,Shwe Pyi Thar(Shwe Pyi Thar),"tel: 01-610810,tel: 01-612585,tel: 01-610600,tel: 09-420080341",Yangon Region
Wine Shae,"2210, Maha Bandoola St., Ward (15),",Motorcycle Repair,Shwe Pyi Thar(Shwe Pyi Thar),tel: 09-420257374,Yangon Region
Win Star,"391, Kyan Sit Thar Rd., Ward (70),",Motorcycle Repair,South Dagon(South Dagon),"tel: 09-799550471,tel: 09-783938102",Yangon Region
Wun Yan Lin,"1257/B, Kyan Sit Thar St., Ward (16),",Motorcycle Repair,Hlaing Thar Yar(Hlaing Thar Yar),tel: 09-420121312,Yangon Region
"Fair Trade Co.,Ltd.","542, Merchant Rd.,",Export & Import Companies,Kyauktada(Kyauktada),"tel: 01-240687,tel: 01-391205,tel: 01-391206",Yangon Region
Yè Gyi,"1624/A, Kanbawza St., Ward (16),",Motorcycle Repair,Hlaing Thar Yar(Hlaing Thar Yar),tel: 09-30247529,Yangon Region
"Htun Linn Kyaw Co.,Ltd.","67, 27th St., Lower Middle Block,",Soap Cream & Oil,Pabedan(Pabedan),"tel: 01-386388,tel: 01-386922,tel: 01-243813,tel: 01-252211,tel: 09-5007674",Yangon Region
Shwe Sin Oo,"247-1, 35th St.,",,အမွတ္ ၂၄၇-၁၊ (၃၅)လမ္း၊,"tel: 01-249670,tel: 011-252147",Kyauktada
Marn Htet Chi,"213-A, 35th St., Upper Block,",,,"tel: 01-250143,tel: 01-379739",Kyauktada
Wire Gyi,"409,Hlaw Gar Rd.,Ward (71)",Motorcycle Repair,South Dagon(South Dagon),tel: 09-254126089,Yangon Region
K & Z,"668, Shwe Yee St., Nga Moe Yeik Ward,",Mobile Phone Repairing & Services,Thingangyun(Thingangyun),tel: 09-450003955,Yangon Region
K Mobile,"166, Upper Pazundaung Rd., Taung Lone Pyan Ward,",Mobile Phone Repairing & Services,Mingalar Taung Nyunt(Mingalar Taung Nyunt),"tel: 09-420762802,tel: 09-786848770",Yangon Region
K & K,"1/2, Than Thu Mar Rd., Corner of Kyae Ta Mar St.,Ward (14/2),",Mobile Phone Repairing & Services,South Okkalapa (South Okkalapa ),"tel: 09-799599599,tel: 09-450048050,tel: 09-5004108",Yangon Region
Pinlel Production,"33/34,   Shwe Kyar Yan Compound,",,,"tel: 01-580153,tel: 09-421097340",North Dagon
Jue Jue [Ko],"450, Nwe Thar Gi 6th St., Ka Ward,",Mobile Phone Repairing & Services,North Okkalapa (North Okkalapa ),"tel: 09-799501574,tel: 09-795848087",Yangon Region
"Sweety Trading Co.,Ltd.","633, Maha Bandoola Rd.,",Export & Import Companies,Latha(Latha),"tel: 01-381503,tel: 01-373280,tel: 01-246101,tel: 09-5159622,tel: 09-5185153",Yangon Region
Junction Mobile,"110/C, Lay Daunt Kan Rd., Infront Of Junction Zawana Shopping Centre, (Za-Gwe/North) Ward,",Mobile Phone Repairing & Services,Thingangyun(Thingangyun),"tel: 01-8564741,tel: 09-43093686",Yangon Region
Ngwe Eain Si,"65, Lay Daunt Kan Rd., Near Zawana Bus Stop, (Sa-Lone/Thu Mingalar) Ward,",Motels,Thingangyun(Thingangyun),tel: 01-564425,Yangon Region
Junction Mobile,"37, Lay Daunt Kan Rd., Lay Daunt Kan Ward,",Mobile Phone Repairing & Services,Thingangyun(Thingangyun),"tel: 09-784400494,tel: 09-784400484,tel: 09-972800282",Yangon Region
June [2],"64/A, Sittaung St., Corner of Mae Gaung St.,Ward (6),",Mobile Phone Repairing & Services,Shwe Pyi Thar(Shwe Pyi Thar),"tel: 09-254000682,tel: 09-790171049",Yangon Region
June,"16, U Phoe Kyar St., Corner of Bo Min Yaung St.,Yan Pyae Ward (3),",Mobile Phone Repairing & Services,Thaketa(Thaketa),tel: 09-420043948,Yangon Region
Jupiter Net,"387, Ywar Ma St., Yamonnar Ward (2),",Mobile Phone Repairing & Services,Dawbon(Dawbon),tel: 09-420011377,Yangon Region
Zay Zay Htet [Ko],"228/A, Pyi Daw Thar St., Ward (10),",Motorcycle Repair,Shwe Pyi Thar(Shwe Pyi Thar),tel: 09-794388425,Yangon Region
Zaw [Ko],"Nga Moe Yeik 9th St., Corner of Baho St., Nga Moe Yeik Ward,",Motorcycle Repair,Thingangyun(Thingangyun),,Yangon
Zwe,"Kyan Sit Thar St.,Near Kyaung Shae Bus Stop,Ward (26)",Motorcycle Repair,Hlaing Thar Yar(Hlaing Thar Yar),tel: 09-254209569,Yangon Region
Yè Yint,"Bo Aung Kyaw St.,Ward (23)",Motorcycle Repair,Hlaing Thar Yar(Hlaing Thar Yar),tel: 09-425327985,Yangon Region
Zaw Oo,"641, Pearl St., Ward (1),",Motorcycle Repair,Shwe Pyi Thar(Shwe Pyi Thar),"tel: 09-401640703,tel: 09-799802279",Yangon Region
Zaw Gyi,"49/A, Thar Si St., Ward (10),",Motorcycle Repair,Shwe Pyi Thar(Shwe Pyi Thar),tel: 09-782119528,Yangon Region
Zwe,"709, Mandalay St., Ward (12),",Motorcycle Repair,Hlaing Thar Yar(Hlaing Thar Yar),"tel: 09-401540276,tel: 09-31185697",Yangon Region
Zwe Mhan,"Min Ye Kyaw Swar St., Ward (3),",Motorcycle Repair,Hlaing Thar Yar(Hlaing Thar Yar),tel: 09-263168672,Yangon Region
Kan Htoo,"1449, Thura St., Phawh Kan Ward,",Mobile Phone Repairing & Services,Insein(Insein),"tel: 09-31999109,tel: 09-421148588",Yangon Region
Ka Gyi,"70/1, Than Thu Mar Rd., Ward (14/1),",Mobile Phone Repairing & Services,South Okkalapa (South Okkalapa ),tel: 09-420049434,Yangon Region
Tun Tauk Kyal,"6, Aung Zeya St.,   Middle Kannar,",Motion Picture Producers,Insein(Insein),"tel: 09-5132068,tel: 09-73200125",Yangon Region
Kabar Thein,"2, Yan Pyay St., Corner of Yan Pyay 21st St.,Yan Pyae Ward (3),",Mobile Phone Repairing & Services,Thaketa(Thaketa),"tel: 09-421172056,tel: 01-541017,tel: 09-5064516,tel: 01-541760",Yangon Region
K.S.L,"91, Rm 1, Thiri St., Ward (2),",Mobile Phone Repairing & Services,Hlaing(Hlaing),"tel: 09-5503903,tel: 09-785503903",Yangon Region
K Star,"Bldg B/87,Rm 1,Kyan Sit Thar St.,Nawaday Shop House",Mobile Phone Repairing & Services,Hlaing Thar Yar(Hlaing Thar Yar),,Yangon
K.M.T,"Mandalay St.,Ward (11)",Mobile Phone Repairing & Services,Hlaing Thar Yar(Hlaing Thar Yar),tel: 09-252852789,Yangon Region
K N,"40/A, Bogyoke Aung San Rd., Car Lay Gate Bus Stop, Ward (5),",Mobile Phone Repairing & Services,Shwe Pyi Thar(Shwe Pyi Thar),"tel: 09-420020204,tel: 09-975154646",Yangon Region
Zwe,"Pha An St.,Ward (9)",Motorcycle Repair,Hlaing Thar Yar(Hlaing Thar Yar),"tel: 09-31084885,tel: 09-420242814",Yangon Region
Bie Nar [Ko],"17/A,Baho Rd.,Near B.E.H.S (1),Ward (2)",Batteries & Accessories Sales,Mayangone(Mayangone),tel: 09-421048752,Yangon Region
Kyaw Khaing [Ko],"1283, Bonmar St., Nya Ward,",Electronic Equipment Sales & Repair,North Okkalapa (North Okkalapa ),tel: 09-425028127,Yangon Region
Aung Myin,"269, Bo Hmu Ba Htoo Rd., Ward (5),",Real Estate Agents,East Dagon(East Dagon),"tel: 09-5044836,tel: 09-785044836",Yangon Region
Khaing Thazin,"478/A, Min Ye Kyaw Swar Rd., Ward (133),",Bicycle & Spare Parts,East Dagon(East Dagon),"tel: 09-421083016,tel: 09-73110833",Yangon Region
Nel Thit Oo,"771/A, Kyan Sit Thar Rd., Ward (70),",Bicycle & Spare Parts,South Dagon(South Dagon),"tel: 09-73235348,tel: 09-255777409",Yangon Region
K6,"Rm B-6/7, 1st Flr, Yuzana Plaza,",Mobile Phone Repairing & Services,Mingalar Taung Nyunt(Mingalar Taung Nyunt),"tel: 09-420221569,tel: 01-200747 Ext.2033",Yangon Region
Zaw Gyi,"Rm 5, Extension Lan Thit St., 2/1 Extension Ward,",Motorcycle Repair,Mingalardon(Mingalardon),tel: 09-420228526,Yangon Region
K Mobile,"89, Ou Yin St., Ma Gyee Dan (North-East) Ward,",Mobile Phone Repairing & Services,Kyeemyin Daing(Kyeemyin Daing),"tel: 09-783537783,tel: 09-251034302",Yangon Region
K.N,"373/B, Shwe Ou Daung St., Ward (1),",Mobile Phone Repairing & Services,Hlaing Thar Yar(Hlaing Thar Yar),tel: 09-421019256,Yangon Region
Zwe Thiha,"Rm 2/3, Bayint Naung Rd., B.E.P.S (16) Shop Room, Ward (6),",Motorcycle Repair,Shwe Pyi Thar(Shwe Pyi Thar),"tel: 09-8635243,tel: 09-450631653",Yangon Region
Aung,"16/A, Mandalay St., Ward (12),",Bicycle & Spare Parts,Hlaing Thar Yar(Hlaing Thar Yar),tel: 09-420242470,Yangon Region
Golden Dream Motel,"115/A, Myintzu St., Htan Pin Kone Ward,",Motels,Insein(Insein),"tel: 09-5182439,tel: 09-73127991",Yangon Region
Mico Motel,"289, Set Hmu 5th St., Myittar Nyunt Ward,",Motels,Tarmwe(Tarmwe),tel: 09-73200622,Yangon Region
Aung Hein,"8, Kyee Myin Daing Kannar Rd., Corner of Htee Dan 1st St.,Htee Dan Ward,",Restaurants,Kyeemyin Daing(Kyeemyin Daing),"tel: 01-2317287,tel: 09-8530092",Yangon Region
KK,"45/A, Min Ye Kyaw Swar Rd., Saw Yan Paing (East) Ward,",Fashion Shops,Ahlone(Ahlone),"tel: 01-229146,tel: 01-222078,tel: 01-221293",Yangon Region
Motels Crazy,"34/35, Anawrahta Rd., Corner of Ayeyarwaddy St.,Ward (10),",Motels,East Dagon(East Dagon),"tel: 09-5050252,tel: 09-73207127",Yangon Region
Shwe Seik Kyaik,"Rm 14, Wai Bar Gi St., Htike Thu Pan Co-op Shop Room, Hta Wun Bae Ward,",Beauty Parlours,North Okkalapa (North Okkalapa ),tel: 09-43105240,Yangon Region
Tun Tauk,"5, Chan Thar Aye St., Htauk Kyant (North) Ward,",Bicycle & Spare Parts,Mingalardon(Mingalardon),tel: 09-73124736,Yangon Region
Phone [Mg],"527, Shwe Bone Thar St., Ward (26),",Bicycle & Spare Parts,Hlaing Thar Yar(Hlaing Thar Yar),tel: 09-31088273,Yangon Region
Kaung Htet Thaw,"40, Bogyoke Aung San St., Ward (2),",Mobile Phone Repairing & Services,Hlaing Thar Yar(Hlaing Thar Yar),tel: 09-421002693,Yangon Region
Mother's Home,"F/10, Lay Daunt Kan Rd., May Kha Housing, (Sa-Lein/Kha) Ward,",Motels,Thingangyun(Thingangyun),"tel: 01-8551241,tel: 01-8551242",Yangon Region
Shwe Lu Thar,"Rm 12,Bayint Naung St.,Corner of No.(2) Main Rd.,Lay Daunt Kan Ward",Betel Nuts & Assortments,South Dagon(South Dagon),"tel: 09-420266296,tel: 09-73218476,tel: 09-420187540",Yangon Region
Kaung Htet Thar,"791, Wai Bar Gi St., Za Myin Zwel Ward,",Mobile Phone Repairing & Services,North Okkalapa (North Okkalapa ),"tel: 09-260544997,tel: 09-791774377",Yangon Region
Swan Naing Thu,"No.(3) Main Rd.,Corner of Aung See Gone Pagoda St.,Near Thingangyun Gyi Bus Stop,Kyaung Gyi Ward",Engine Repair [General],Mingalardon(Mingalardon),"tel: 09-73178384,tel: 09-450011387,tel: 09-420125593",Yangon Region
Kaung Htet Lin,"381, Ta Pin Shwe Htee St., Ward (1),",Mobile Phone Repairing & Services,Hlaing Thar Yar(Hlaing Thar Yar),"tel: 09-970133601,tel: 09-420076852,tel: 09-450391818",Yangon Region
Kate,"564, Kyan Sit Thar St., Near 176 Bus Stop, Ward (15),",Mobile Phone Repairing & Services,Hlaing Thar Yar(Hlaing Thar Yar),"tel: 09-421051000,tel: 09-33333825,tel: 09-448001455,tel: 09-31087575",Yangon Region
Diamond Sky Motel,"1387, Anawrahta Rd., Ward (46),",Motels,North Dagon(North Dagon),"tel: 09-257025616,tel: 09-73055191",Yangon Region
My Inn,"Bldg HSBH/5, Rm 10, Yadanar Rd., Malikha Housing, Bawa Myint Ward,",Motels,Thingangyun(Thingangyun),"tel: 01-8566848,tel: 01-8566847",Yangon Region
Kaung Htet San,"877, Min Yarzar St., Ward (20),",Mobile Phone Repairing & Services,Hlaing Thar Yar(Hlaing Thar Yar),"tel: 09-250037796,tel: 09-73178703",Yangon Region
Kaung Htet Kaung,"652, Thandar St., Corner of Thudhamar Rd.,Sa Lone Ward,",Mobile Phone Repairing & Services,North Okkalapa (North Okkalapa ),"tel: 09-420060778,tel: 09-31236608",Yangon Region
Kaung,"1/4, Ywar Lel St., Sint Ngu Ward,",Mobile Phone Repairing & Services,Insein(Insein),"tel: 09-421138013,tel: 09-32174634",Yangon Region
Kan Yoe Tan,"76/78, Ma Kyee Kyee St., Mont Let Saung Gone (South) Ward,",Mobile Phone Repairing & Services,Sanchaung(Sanchaung),"tel: 09-254133128,tel: 09-257334463,tel: 09-263471126",Yangon Region
Depar Moe,"Bldg D, Shwe Ngu Wah St., Shwe Sabei Yeikmon,",Motion Picture Producers,Kamayut(Kamayut),"tel: 01-525584,tel: 09-5115282",Yangon Region
Kan Pwint,"475/B,Anawrahta Rd.,Near 86 Gate Haung Bus Stop,Ward (20)",Mobile Phone Repairing & Services,Hlaing Thar Yar(Hlaing Thar Yar),"tel: 09-73057533,tel: 09-254424446",Yangon
Bo Bo Film Production,"218/A, 36th St., Upper Block,",Motion Picture Producers,Kyauktada(Kyauktada),"tel: 01-255921,tel: 09-31042470",Yangon Region
Kaung Htet Ko Ko,"Hlaw Gar Rd., Joker Bus Stop, Ward (16),",Mobile Phone Repairing & Services,Shwe Pyi Thar(Shwe Pyi Thar),tel: 09-250173088,Yangon Region
Aung Thiri,"243, 35th St., Upper Middle Block,",Motion Picture Producers,Kyauktada(Kyauktada),tel: 01-374968,Yangon Region
6th Sense,"234, 1st Flr, 35th St., Upper Block,",Motion Picture Producers,Kyauktada(Kyauktada),"tel: 09-784783784,tel: 09-73113711",Yangon Region
Aung Kyaw Zaw,"272, 1st Flr, Pansoedan St., Upper Block,",Motion Picture Producers,Kyauktada(Kyauktada),"tel: 01-391771,tel: 09-5178513",Yangon Region
KKK,"791,Shwe Oat Gu St.,Ward (8)",Motorcycle Accessories & Parts,Thaketa(Thaketa),,Yangon Region
Kaung Set,"1738, U Pu Nya St., Ward (14),",Mobile Phone Repairing & Services,Hlaing Thar Yar(Hlaing Thar Yar),tel: 09-794664548,Yangon Region
"Big Mountain Productions Co.,Ltd. [SAIL Group of Companies]","790, Rm 403/603, 4th to 6th Flr, Bogyoke Aung San Rd., Danathiha Center,",Motion Picture Producers,Lanmadaw(Lanmadaw),"tel: 01-211870,tel: 01-224820,tel: 01-2301195",Yangon Region
Kaung Myat Thwin,"Bldg 6, Rm 002, Yuzana St., Sittaung Yeik Mon Housing,",Mobile Phone Repairing & Services,Dagon Seikkan(Dagon Seikkan),"tel: 09-790139410,tel: 09-790228667",Yangon Region
Kaung Myat,"Rm 13, Than Thu Mar Rd., B.E.P.S (4) Shop Room, Ward (15),",Mobile Phone Repairing & Services,South Okkalapa (South Okkalapa ),"tel: 09-250455113,tel: 09-420195800",Yangon Region
Shwe Eain Si,"70, Thudhamar Rd., Phone Gyi St. Bus Stop, Ward (2),",Restaurants,North Okkalapa (North Okkalapa ),tel: 01-656376,Yangon Region
Empire,"248, 36th St., Upper Block,",Motion Picture Producers,Kyauktada(Kyauktada),"tel: 09-43104831,tel: 09-73029683,tel: 09-782998890",Yangon Region
Venus,"4, Oakkalar Thiri St., Ga Gyi Ward,",Motels,North Okkalapa (North Okkalapa ),"tel: 01-691582,tel: 09-73018807,tel: 09-793697500",Yangon Region
Tapin Shwe Htee,"4, Padauk St., Ward (4),",Motels,Hlaing(Hlaing),"tel: 01-528659,tel: 01-681706,tel: 01-528679,tel: 09-420124318,tel: 09-73099648",Yangon Region
APS,"239, G Flr, 35th St., Upper Block,",Motion Picture Producers,Kyauktada(Kyauktada),tel: 01-252391,Yangon Region
Kaung Set,"5/A, Bldg 14, Thitsar Pan St., Hta Wun Bae Ward,",Mobile Phone Repairing & Services,North Okkalapa (North Okkalapa ),"tel: 09-790140621,tel: 09-254609455,tel: 09-448032348,tel: 09-450030357",Yangon Region
San Francisco,"920/A, Pyay Rd., 10 Mile, Saw Bwar Gyi Gone Ward,",Motels,Insein(Insein),"tel: 01-651995,tel: 09-254163712",Yangon Region
Summer Motel,"28/A, Manaw Hari St., Pyay (West) Ward,",Motels,Dagon(Dagon),"tel: 09-260226464,tel: 09-260226565",Yangon Region
Kaung Kin Thit,"207, 1st Flr, 35th St., Upper Block,",Motion Picture Producers,Kyauktada(Kyauktada),"tel: 09-5061838,tel: 09-43184536,tel: 09-795645380",Yangon Region
"Ah Mi Myay, Aung Myay","171, 35th St., Upper Middle Block,",Motion Picture Producers,Kyauktada(Kyauktada),"tel: 01-380122,tel: 09-5126606,tel: 09-799980028",Yangon Region
Yu Wady,"1738/1739, Ta Pin Shwe Htee St., Ward (4),",Motels,Hlaing Thar Yar(Hlaing Thar Yar),"tel: 01-684760,tel: 09-73057693,tel: 01-687865,tel: 09-31569992,tel: 09-5024463",Yangon Region
Htet,"376, 1st Flr, Maha Bandoola Garden St., Upper Block,",Motion Picture Producers,Kyauktada(Kyauktada),tel: 01-255754,Yangon Region
Khit Thit Aung Thu,"P Moe Ninn St.,Near Wai Phyo Hein Market,Ward (6)",Motorcycle Accessories & Parts,Hlaing Thar Yar(Hlaing Thar Yar),tel: 09-401585554,Yangon Region
Htut Khaung,"178, 37th St., Upper Middle Block,",Motion Picture Producers,Kyauktada(Kyauktada),"tel: 01-376503,tel: 01-684718,tel: 01-685886",Yangon Region
Heart & Soul,"232, 35th St., Upper Block,",Motion Picture Producers,Kyauktada(Kyauktada),tel: 01-398066,Yangon Region
Golden Eagle,"245, 1st Flr, 35th St., Upper Block,",Motion Picture Producers,Kyauktada(Kyauktada),"tel: 01-388173,tel: 09-43070587,tel: 09-73236707",Yangon Region
Kaung Kin Thit,"Min Ye Kyaw Swar St., Ward (3),",Mobile Phone Repairing & Services,Hlaing Thar Yar(Hlaing Thar Yar),tel: 09-421063836,Yangon Region
Green Age Film Production,"113, 94th St., Kan Daw Kalay (East) Ward,",Motion Picture Producers,Mingalar Taung Nyunt(Mingalar Taung Nyunt),"tel: 01-240514,tel: 09-401601672,tel: 09-5017517,tel: 09-252447676",Yangon Region
Yangon Saung Thazin,"56, Hlaw Gar Rd., Ward (21),",Motels,South Dagon(South Dagon),tel: 09-252027309,Yangon Region
Kaung Kin Pyar,"Anawmar St.,Corner of Zingama Rd.,Ah Naw Mar Ward (1)",Mobile Phone Repairing & Services,Thaketa(Thaketa),"tel: 09-43201253,tel: 09-794407552",Yangon Region
Kaung Kin Moe,"1142/B, Tapin Shwe Htee St., Ward (7),",Mobile Phone Repairing & Services,East Dagon(East Dagon),"tel: 09-971616711,tel: 09-771395358",Yangon Region
Sky Ace,"965, Tapin Shwe Htee St., Ward (9),",Motels,East Dagon(East Dagon),"tel: 01-580475,tel: 09-5176748,tel: 09-254220446,tel: 09-253094419",Yangon Region
Green Hill,"251, 35th St., Upper Block,",Motion Picture Producers,Kyauktada(Kyauktada),"tel: 01-256647,tel: 01-389870",Yangon Region
Kaung Kaung,"7, 53rd St., Upper Middle Block,",Mobile Phone Repairing & Services,Pazundaung(Pazundaung),"tel: 09-250011881,tel: 09-794871167",Yangon Region
Kaung Kin Eain,"Butar St.,Near Ywar Thar Gyi Butar,Ywar Thar Gyi Ward",Mobile Phone Repairing & Services,East Dagon(East Dagon),"tel: 09-976728405,tel: 09-976411933,tel: 09-253983847",Yangon Region
Khaing [Honda],"21 Shed, Rm 9/10, Thitsar St., Nanthargone Bicycle & Sparepart Dealers Compound,",Motorcycle Accessories & Parts,Insein(Insein),"tel: 01-646544,tel: 09-73202051",Yangon Region
Kaung Khant,"37, Ywar Lel St., Zee Kone Ward,",Mobile Phone Repairing & Services,Shwe Pyi Thar(Shwe Pyi Thar),tel: 09-420312519,Yangon Region
Khant Lin Naing,"Kyan Sit Thar St., Ward (26),",Motorcycle Accessories & Parts,Hlaing Thar Yar(Hlaing Thar Yar),"tel: 09-450331868,tel: 09-790866282",Yangon Region
Kenbo,"747/147, Bayint Naung Rd., Near Dagon Shwe Pyi Market, Ward (32),",Motorcycle Accessories & Parts,North Dagon(North Dagon),"tel: 09-73131781,tel: 09-796588049",Yangon Region
Iron Cross Home Entertainment,"108, Yangon-Insein Rd., Ward (3),",Motion Picture Producers,Mayangone(Mayangone),"tel: 09-5134511,tel: 01-663400",Yangon Region
Mahar Tun,"173, 1st Flr, 35th St., Upper Middle Block,",Motion Picture Producers,Kyauktada(Kyauktada),"tel: 01-386835,tel: 09-5052221",Yangon Region
Master,"180, 34th St., Upper Block,",Motion Picture Producers,Kyauktada(Kyauktada),"tel: 01-371118,tel: 09-5116700,tel: 09-8611660",Yangon Region
Golden Princess,"Rm 904, 9th Flr, Kyaik Waing Pagoda Rd., Myaing Hay Wun Condo, Tower A,",Motion Picture Producers,Mayangone(Mayangone),"tel: 09-5020825,tel: 09-43030489",Yangon Region
Lu Chaw Group [Ko],"252, 35th St., Upper Block,",Motion Picture Producers,Kyauktada(Kyauktada),tel: 09-73051155,Yangon Region
Khin,"Rm 13, Yadanar Rd., Y.C.D.C Compound, Ward (13),",Mobile Phone Repairing & Services,South Okkalapa (South Okkalapa ),"tel: 09-448018347,tel: 09-420290305",Yangon Region
Khant,"Thapyay St., Die Su Village,",Mobile Phone Repairing & Services,Hlaing Thar Yar(Hlaing Thar Yar),"tel: 09-425332727,tel: 09-979398538,tel: 09-778922880,tel: 09-797845157",Yangon Region
Golden Brothers,"213/A, G Flr, 36th St., Upper Block,",Motion Picture Producers,Kyauktada(Kyauktada),"tel: 09-401596383,tel: 09-73042889",Yangon Region
Lucky Palace,"257, G Flr, 35th St., Upper Block,",Motion Picture Producers,Kyauktada(Kyauktada),"tel: 01-248240,tel: 01-388458,tel: 09-5165906,tel: 09-5196687,tel: 09-797777344",Yangon Region
Khaing,"1407, Daiwa Daha St., Ward (13),",Mobile Phone Repairing & Services,South Okkalapa (South Okkalapa ),tel: 09-450401778,Yangon Region
Kaung Thukha,"Bldg 16, Rm 11, Anawrahta Rd., Shwe Kantharyar Shop House,",Motorcycle Accessories & Parts,Hlaing Thar Yar(Hlaing Thar Yar),"tel: 09-420216234,tel: 09-43168768",Yangon Region
KH,"2/B, Bayint Naung Rd., Ward (6),",Mobile Phone Repairing & Services,Shwe Pyi Thar(Shwe Pyi Thar),tel: 09-799758050,Yangon Region
KH,"24, Pearl St., Kyaikkasan Ward,",Mobile Phone Repairing & Services,Bahan(Bahan),"tel: 09-421151736,tel: 09-799224987",Yangon Region
