state,township,category,name,contact,street
Yangon Region,Tarmwe(Tarmwe),Garment Industries,Lucky Flowers,"tel: 01-543675,tel: 09-5032775,tel: 09-798426034","707/708, Rm 101, Kamahtan St., Myittar Nyunt Ward,"
Yangon Region,Tarmwe(Tarmwe),Gas Cookers & Accessories,Sann Thit Lwin,"tel: 09-30165682,tel: 09-43141140,tel: 09-73085312","5, 146th St., Ah Yoe Gone Ward,"
Yangon Region,Mayangone(Mayangone),Groceries,Aye Myint [Daw],tel: 09-73009289,"690, Alaung Phayar St., Corner of Thamaing Butar Yon 5th St.,Ward (1),"
Yangon Region,South Okkalapa (South Okkalapa ),Garment Industries,Lin Htet Family Garment,"tel: 09-5048878,tel: 09-972112228,tel: 09-254328620","600, Bagan 28th St., Ward (5),"
Yangon Region,Pazundaung(Pazundaung),Gas Cookers & Accessories,Sawadi,"tel: 01-292741,tel: 09-5013882,tel: 09-43105668","230, Rm 1, Anawrahta Rd.,"
Yangon Region,Than Lyin(Than Lyin),Garment Industries,Kyawt Kyawt,"tel: 09-43163279,tel: 09-43117640,tel: 09-799653121","56, Sike Pyoe Yay St., Ah Hmu Htan Ward,"
Yangon Region,North Okkalapa (North Okkalapa ),Groceries,Aye Myint [Daw],tel: 09-31778894,"28, Thandar St., Nga Ward,"
Yangon Region,Insein(Insein),Groceries,Aye Myint [Daw],tel: 09-261759896,"31, Kan Gyi Extension 1st St., Near Aung Zeya Housing, Kannar (Mid) Ward,"
Yangon Region,Hlaing Thar Yar(Hlaing Thar Yar),Garment Industries,MG Garment [May Garment],"tel: 01-680481,tel: 01-684579","156, Myin Wun U Aung Thu St., Industrial Zone (2),"
Yangon Region,Latha(Latha),Groceries,Aye Myint [Daw],"tel: 01-225796,tel: 09-250665912","20,Lanmadaw St."
Yangon Region,Hlaing Thar Yar(Hlaing Thar Yar),Garment Industries,MC Garment,tel: 01-685775,"163/B, De Pe` Yinn Wun Htauk U Mye` St., Industrial Zone (4),"
Yangon Region,South Dagon(South Dagon),Garment Industries,"MHC Garment Co.,Ltd.","tel: 09-5140357,tel: 09-5179864","106, Ta Pin Shwe Htee St., East Dagon Industrial Zone (2),"
Yangon Region,Shwe Pyi Thar(Shwe Pyi Thar),Groceries,Aye Myint [Daw],tel: 09-250524794,"660, Yan Gyi Aung St., Ward (11),"
Yangon Region,Mayangone(Mayangone),Game Centres,New World,"tel: 09-250280074,tel: 09-799794048","44/B, Thamaing Butar Yon 14th St., Ward (1),"
Yangon Region,Mingalar Taung Nyunt(Mingalar Taung Nyunt),Game Centres,New Sony,"tel: 09-785161707,tel: 09-5161707","Rm 106/119/134, G Flr, New Mingalar Market,"
Yangon Region,Tarmwe(Tarmwe),Game Centres,New Vegas,"tel: 09-799916288,tel: 09-785333378","Thamain Bayan Rd., Corner of Banyar Dala Rd.,Tarmway Gyee (Ka/Ga-Nge) Ward,"
Yangon Region,Insein(Insein),Groceries,Aye Myint [Daw],tel: 09-31073225,"C Shed, Rm 47/34, Insein Market,"
Yangon,Insein(Insein),Game Centres,New Light,"tel: 09-5101850,tel: 09-5109850","7/82,Ywar Lel St.,Da Nyin Gone Ward"
Yangon Region,East Dagon(East Dagon),Game Centres,New Light,tel: 09-420059530,"960/A, Bo Myint Aung St., Ward (7),"
Yangon Region,Lanmadaw(Lanmadaw),Game Centres,New Wave,"tel: 09-262224477,tel: 09-32224999","91/B, 7th St., Upper Block,"
Yangon Region,Kyauktada(Kyauktada),Game Centres,New Place,tel: 01-381726,"221, 40th St., Upper Middle Block,"
Yangon Region,Dagon Seikkan(Dagon Seikkan),Game Centres,New Legent [Online Game],tel: 09-5098669,"Bldg 34, Rm 004, 3rd St., Yuzana Garden City Housing, C Block,"
Yangon Region,Hlaing Thar Yar(Hlaing Thar Yar),Garment Industries,Mee Mee [Ma],"tel: 09-250299195,tel: 09-795858266","Bldg B/95, Rm A/1, Nawaday Zay St., Nawaday Shop House,"
Yangon Region,South Dagon(South Dagon),Garment Industries,Mi Show Garment,"tel: 09-73099557,tel: 09-73208125,tel: 09-420255465,tel: 09-450027537","1428, Latha St., Industrial Zone (2),"
Yangon Region,South Dagon(South Dagon),Garment Industries,May Yi,tel: 09-799603439,"967, Shwe Taung Gyar 5th St., Industrial Zone (2),"
Yangon Region,Botahtaung(Botahtaung),Groceries,Aye Myint [Daw],"tel: 09-450002703,tel: 09-250012988","33/A, 42nd St., Lower Block,"
Yangon Region,South Dagon(South Dagon),Garment Industries,Marble,"tel: 09-970234343,tel: 09-5182417","699, Yoma Yeik Thar St., East Dagon Industrial Zone (2),"
Yangon Region,South Dagon(South Dagon),Groceries,Aye Myint [Daw],"tel: 09-254061892,tel: 09-428033715","238/A, Gandamar St., Industrial Zone(1),"
Yangon Region,Thingangyun(Thingangyun),Groceries,Aye Myint [Daw],tel: 09-794349253,"10, Loot Latt Yay St., (Ga-Gyi) Ward,"
Yangon Region,North Dagon(North Dagon),Groceries,Aye Myint [Daw],tel: 09-73014366,"128, Phoe Waziyar St., Ward (39),"
Yangon Region,Insein(Insein),Game Centres,New Light,"tel: 09-5096916,tel: 01-645536","700, Lower Mingalardon Rd., No(1) Bus Stop, Sint Ngu Ward,"
Yangon Region,Mingalardon(Mingalardon),Garment Industries,"Manufacturing Gst Enterprise Co.,Ltd.","tel: 09-263998318,tel: 09-421128409,tel: 09-450112958","26, 2nd St., Yangon Industrial Zone,"
Yangon Region,Hlaing Thar Yar(Hlaing Thar Yar),Garment Industries,"Man Sum [Myanmar] Garment Textiles Mfg Co.,Ltd.","tel: 01-684501,tel: 01-684502,tel: 01-684504,tel: 01-684727","20, De Pe` Yinn Wun Htauk U Mye` St., Industrial Zone (2),"
Yangon,Sanchaung(Sanchaung),Game Centres,NY,,"38/B,Shan Kone St.,Myae Ni Gone (North) Ward"
Yangon Region,Sanchaung(Sanchaung),Game Centres,Never Land,"tel: 01-516823,tel: 09-5039252,tel: 09-73237924","238/B, Padaythar St., Myae Ni Gone (South) Ward,"
Yangon Region,Hlaing(Hlaing),Garment Industries,"Maharthuria Co.,Ltd.","tel: 09-254052562,tel: 09-5408960","293/A/1, Maha Swe St., Corner of Maha Swe 1st St., Ward (13),"
Yangon Region,Hlaing Thar Yar(Hlaing Thar Yar),Game Centres,Nway Moe Saung,tel: 09-420009828,"508, Bogyoke Aung San St., Ward (1),"
Yangon Region,Hlaing Thar Yar(Hlaing Thar Yar),Game Centres,Noble Light,"tel: 09-5046794,tel: 09-254135295","7, Bogyoke Aung San St., Ward (3),"
Yangon,Hlaing(Hlaing),Game Centres,Noble,tel: 09-428023178,"94,Upper Baho St.,Ward (16)"
Yangon Region,Kamayut(Kamayut),Groceries,Aye Paing [Daw],,"Bldg 780, Rm 001, Zay St., Ward (5),"
Yangon Region,Sanchaung(Sanchaung),Game Centres,Nine Nine,tel: 09-261995862,"57/B, Nyaung Tone St., Kyun Taw (South) Ward,"
Yangon Region,North Okkalapa (North Okkalapa ),Groceries,Aye Nyunt [Ma],"tel: 09-421159500,tel: 09-790559231","42, Mya Yadanar St., Corner of Mya Yadanar 10th St.,Kha Ward,"
Yangon Region,Mingalar Taung Nyunt(Mingalar Taung Nyunt),Garment Industries,"Moneda Fashion & Foot Wears Co.,Ltd.","tel: 01-9000260,tel: 09-250388594,tel: 01-292129,tel: 09-428016552","79, 124th St., Tha Pyay Gone Ward,"
Yangon,Shwe Pyi Thar(Shwe Pyi Thar),Garment Industries,Moe Thuzar [Ma],tel: 01-611177,"29/399,Bogyoke Aung San Rd.,Near Shwe Pyi Thar Curve Bus Stop,Ward (2)"
Yangon Region,Insein(Insein),Garment Industries,Mountain Glory Ltd.,tel: 01-642760,"463, Shwe Kyee St., Near Kyaung Gate Bus Stop, Sint Ngu Ward,"
Yangon Region,Mayangone(Mayangone),Gear Pinion Repair,Wa Toke [Ko],"tel: 09-73180994,tel: 09-425309410","17 Shed, Rm 31, Bayint Naung Market,"
Yangon Region,Dagon Seikkan(Dagon Seikkan),Game Centres,Nyan Win [U],tel: 09-428170229,"513, Ingyin St., Ward (88),"
Yangon Region,Hlaing Thar Yar(Hlaing Thar Yar),Gas Cookers & Accessories,Shwe Nagar,"tel: 09-421014593,tel: 09-73083910","Bldg 16, Rm 15, Anawrahta Rd., Shwe Kantharyar Shop House,"
Yangon Region,Dagon Seikkan(Dagon Seikkan),Garment Industries,Moe Thu [U],"tel: 09-796132814,tel: 09-976332875","Bldg 12, Rm 003, G Flr, 16th St., Yuzana Garden City Housing, A Block,"
Yangon Region,Thingangyun(Thingangyun),Gas Cookers & Accessories,Shwe Mya Hinthar,"tel: 09-400432186,tel: 09-254006137","Rm 14/15, Kauk Lyin St., B.E.P.S (16) Shop Room, Thuwana/29 Ward,"
Yangon Region,North Okkalapa (North Okkalapa ),Game Centres,Nyein Chan [U],"tel: 09-254623251,tel: 09-972280128","404, Pearl St., Hta Wun Bae Ward,"
Yangon Region,Mingalardon(Mingalardon),Gas Cookers & Accessories,Shwe Lin,"tel: 09-452744829,tel: 09-778044133","Aung See Gone Pagoda St., Kyaung Gyi Ward,"
Yangon Region,Dagon Seikkan(Dagon Seikkan),Gas Cookers & Accessories,Shwe Kaung San,tel: 09-785440405,"1064, Ngwe Zin Yaw St., Ward (88),"
Yangon Region,Thingangyun(Thingangyun),Gas Cookers & Accessories,Shwe Hla Min,tel: 09-73009773,"96, Lay Daunt Kan Rd., B.O.C Bus Stop, (Sa-Lein/Ka) Ward,"
Yangon Region,Thaketa(Thaketa),Gas Cookers & Accessories,Shwe Hla Min,"tel: 09-420028125,tel: 09-5073053","Rm 1, Ayeyar Wun Rd., Si Pin Shop Room, Ward (7-East),"
Yangon Region,Mingalar Taung Nyunt(Mingalar Taung Nyunt),Gas Cookers & Accessories,Shwe Myint Moh,"tel: 09-5128426,tel: 09-43067908,tel: 09-30071662","122/129, Myanma Gone Yee St., Between Mandalay St. and 91th St.,Kan Daw Kalay (East) Ward,"
Yangon Region,Thaketa(Thaketa),Gas Cookers & Accessories,"Shwe Hla Min Co.,Ltd.","tel: 09-970555802,tel: 09-420275745","Rm 2, Myin Taw Thar Rd., Near Sport Ground Shop Room, Ward (2-North),"
Yangon Region,East Dagon(East Dagon),Garment Industries,Moe Makha,"tel: 09-73016721,tel: 09-251020675","20, Taw Win St., University Avenue Housing,"
Yangon Region,Sanchaung(Sanchaung),Game Centres,Nice Talker,"tel: 01-511211,tel: 09-5046026","87, Mingalar St., Sanchaung (North) Ward,"
Yangon Region,East Dagon(East Dagon),Garment Industries,Model Boy,tel: 09-5177299,"536, Saw Mahar St., Ward (12),"
Yangon Region,Insein(Insein),Garment Industries,"Miba Gone Yee Production Co.,Ltd. [Power Fashion]","tel: 09-250152477,tel: 09-262111811","400/A, Lower Mingalardon Rd., Sint Ngu Ward,"
Yangon Region,Hlaing(Hlaing),Garment Industries,Moe Kaung Kin,"tel: 01-500795,tel: 01-536297,tel: 09-73100400,tel: 09-5173223,tel: 09-73034303","33, 60th St., Ward (7),"
Yangon Region,Mingalardon(Mingalardon),Garment Industries,"Mon Shine Int'l Trading Co.,Ltd.","tel: 01-430205,tel: 01-9000166,tel: 01-9000165,tel: 09-49810479","84, 7th St., Yangon Industrial Zone,"
Yangon Region,Hlaing Thar Yar(Hlaing Thar Yar),Groceries,Aye Nwet [Ma],"tel: 09-30397642,tel: 09-448046919","Rm 7, Shwe Yin Aye Zay St., B.E.P.S (12) Shop Room, Ward (18),"
Yangon Region,North Okkalapa (North Okkalapa ),Groceries,Aye Naing [U],tel: 09-73110019,"297, Phaung Taw Oo Pagoda St., Kyauk Yae Dwin Ward,"
Yangon Region,South Dagon(South Dagon),Groceries,Aye Myittar [2],"tel: 09-420070759,tel: 09-420070758","236, Zeya Myaing St., Ward (19),"
Yangon Region,Mayangone(Mayangone),Groceries,Aye Naw,"tel: 09-5141632,tel: 09-32242384","124, Cherry St., Corner of Gandamar St., Infront Of B.E.P.S (2), Ward (2),"
Yangon Region,North Okkalapa (North Okkalapa ),Garment Industries,"Millennium Golden Lion Co.,Ltd.","tel: 01-695103,tel: 09-420030774","188, Kanaung Min Thar Gyi St., Shwe Pauk Kan Industrial Zone,"
Yangon Region,Mingalardon(Mingalardon),Gas Cookers & Accessories,Shwe Hla Min,"tel: 09-32081945,tel: 09-420060890,tel: 09-73149857","Rm 3, Mingalardon Zay St., Near Mingalardon Market, Mingalardon Zay Ward,"
Yangon Region,Yankin(Yankin),Game Centres,Ni Ni Win [Daw],tel: 09-960927932,"4/3/118, Shae Thoe St, Ward (12),"
Yangon Region,Kamayut(Kamayut),Groceries,Aye Myint [U],tel: 01-504213,"180, Padamyar St., Ward (1),"
Yangon Region,Hlaing Thar Yar(Hlaing Thar Yar),Groceries,Aye Nyeint [Ma],,"777, Malikha St., Ward (14),"
Yangon Region,Pabedan(Pabedan),Groceries,Aye Myint [Ma],"tel: 09-425019737,tel: 09-250639647","A Shed, Rm 103/A, Thein Gyi Market,"
Yangon Region,Hlaing Thar Yar(Hlaing Thar Yar),Garment Industries,"Myanmar Fian Cheng Myan Co.,Ltd.",tel: 09-402637344,"34, Min Gyi Maha Min Khaung St., Industrial Zone (4),"
Yangon Region,Hlaing Thar Yar(Hlaing Thar Yar),Garment Industries,"Myan Mode Co.,Ltd.","tel: 09-456231288,tel: 09-450064027,tel: 09-791845263","514, Yaw Ah Twin Wun U Pho Hlaing St., Shwe Linban Industrial Zone,"
Yangon Region,Dagon Seikkan(Dagon Seikkan),Garment Industries,"Myanmar Ha Hae Co.,Ltd.","tel: 01-592030,tel: 01-592031,tel: 01-592042,tel: 01-592018,tel: 09-31145981","90/91, Daw Phwar Shin St., Industrial Zone,"
Yangon Region,Kyauktada(Kyauktada),Garment Industries,"Musung Garment Co.,Ltd.",tel: 01-639316~8,"33/49, 2nd Flr, Maha Bandoola Garden St., Lower Block (Strand Condo) ,"
Yangon Region,Hlaing Thar Yar(Hlaing Thar Yar),Garment Industries,"Myanmar Century Liaoyuan Knitted Wear Co.,Ltd.","tel: 09-960738749,tel: 09-970446177","56, 2nd St., Ngwe Pin Lae Industrial Zone,"
Yangon Region,Sanchaung(Sanchaung),Groceries,Aye Myittar,tel: 01-500447,"37, Yankin St., Myae Ni Gone (North) Ward,"
Yangon Region,Thaketa(Thaketa),Garment Industries,"Mya Nan Theingi Mfg Co.,Ltd.","tel: 01-547364,tel: 01-551123","112, Mya Nandar St., Industrial Zone,"
Yangon Region,Tarmwe(Tarmwe),Gas Cookers & Accessories,Shwe Hla Min [3],"tel: 01-290103,tel: 01-205614","205/A, Ma U Gone St., Corner of Banyar Dala Rd.,Ma U Gone Ward,"
Yangon Region,South Dagon(South Dagon),Gas Cookers & Accessories,Silver Moon,tel: 09-420103151,"138, Kyan Sit Thar Rd., Ward (71),"
Yangon Region,Shwe Pyi Thar(Shwe Pyi Thar),Gas Cookers & Accessories,Solar,"tel: 09-440554225,tel: 09-782466488","83/B, Bogyoke Aung San Rd., Near Htan Chauk Pin Bus Stop, Ward (5),"
Yangon Region,Kamayut(Kamayut),Gas Cookers & Accessories,"Shwin Pyae Sone Co.,Ltd. [Farfalla]",tel: 09-73119893,"99, Hledan Rd., Ward (8),"
Yangon Region,South Dagon(South Dagon),Gas Cookers & Accessories,Silver Moon,"tel: 09-421101383,tel: 09-43135867","102, Si Pin Rd., Ward (24),"
Yangon Region,Hlaing Thar Yar(Hlaing Thar Yar),Garment Industries,"MST Underwear Co.,Ltd.","tel: 09-784712763,tel: 09-784014813","63, De Pe` Yinn Wun Htauk U Mye` St., Industrial Zone (3),"
Yangon Region,Thaketa(Thaketa),Gas Cookers & Accessories,SIT,"tel: 09-73053720,tel: 09-795263095,tel: 09-260048176,tel: 01-555633","109/A, Myin Taw Thar Rd., Ward (6-West),"
Yangon Region,Hlaing Thar Yar(Hlaing Thar Yar),Garment Industries,"Myanmar Allin Co.,Ltd.","tel: 09-773154418,tel: 09-262727036","95, Min Gyi Maha Min Khaung St., Shwe Than Lwin Industrial Zone,"
Yangon Region,Shwe Pyi Thar(Shwe Pyi Thar),Groceries,Aye Than [Daw],tel: 09-73061953,"219/A, Thamain Bayan St., Ward (8),"
Yangon Region,Thingangyun(Thingangyun),Gas Cookers & Accessories,Shwe Wunna,"tel: 09-73004509,tel: 09-250177361","6, Aung Zeya St., Yangon Thit Ward,"
Yangon Region,Thaketa(Thaketa),Gas Cookers & Accessories,Soe [Ko],"tel: 09-8601624,tel: 09-795933281,tel: 09-73146513,tel: 09-255903335","Rm 12/7, Thanlyn Chin Kat Rd., 108 Taung Pagoda Shop Room, Ward (10-South),"
Yangon Region,Hlaing Thar Yar(Hlaing Thar Yar),Groceries,Aye Sein Hla,tel: 09-450697894,"255, Saya San St., Ward (20),"
Yangon Region,Tarmwe(Tarmwe),Groceries,Aye Than [Daw],"tel: 01-201626,tel: 09-780485668","76, Ah Yoe Gone St., Ah Yoe Gone Ward,"
Yangon Region,Mingalardon(Mingalardon),Groceries,Aye Sandar,tel: 09-400524105,"Baho St.,Near Bo Chan Market,(1/Ka) Ward"
Yangon,Thingangyun(Thingangyun),Groceries,Aye Than [Daw],,"48,Yadanar Thukha St.,(Sa-Lein/Ka) Ward"
Yangon Region,Tarmwe(Tarmwe),Groceries,Aye Sann [Ma],,"26, Dhama Darna St., Ma Hlwa Gone Htay Kywe Ward,"
Yangon Region,Hlaing Thar Yar(Hlaing Thar Yar),Groceries,Aye Soe [U],"tel: 09-421023431,tel: 09-773059580","305/B, Paw San Hmwe 6th St., Ward (12),"
Yangon Region,Thaketa(Thaketa),Gas Cookers & Accessories,Shwe Sin Kyal,"tel: 09-43198003,tel: 09-31629129,tel: 09-254949282","1180, Zingama Rd., Infront Of No(1) Market, Ward (2-North),"
Yangon Region,Sanchaung(Sanchaung),Garment Industries,"MP Garment [MK Trading Co.,Ltd.]","tel: 01-501435,tel: 01-2304054,tel: 09-5088494","25, Myay Nu St., Myae Ni Gone (North) Ward,"
Yangon Region,Hlaing Thar Yar(Hlaing Thar Yar),Gas Cookers & Accessories,Shwe Sin Kyal,"tel: 09-420120173,tel: 09-73257737","431/A, Saya San St., Ward (18),"
Yangon Region,Hlaing(Hlaing),Groceries,Aye Pwint [Ma],"tel: 09-5153084,tel: 09-8620717","63, Pyi Taw 3rd St., Ward (13),"
Yangon Region,Bahan(Bahan),Game Centres,Nge Nge,"tel: 09-5123899,tel: 09-43020744","2, Dhama Parla St., Saya San (South) Ward,"
Yangon Region,Hlaing(Hlaing),Groceries,Aye Than [Daw],tel: 09-31369500,"654, Thiri Myaing St., Ward (13),"
Yangon Region,Thaketa(Thaketa),Aluminium Frames & Furnitures,Kyan Tine Aung,"tel: 09-250919308,tel: 09-250380828","Min Nandar Rd., Si Pin Shop Room, Ward (2-North),"
Yangon Region,Hlaing Thar Yar(Hlaing Thar Yar),Aluminium Frames & Furnitures,Kyaw Htoo [Ko],"tel: 09-250399992,tel: 09-420074236","573, Kyan Sit Thar St., Near 127 Bus Stop, Ward (15),"
Yangon Region,Kamayut(Kamayut),Aluminium Frames & Furnitures,"KL Mall Shan Co.,Ltd.","tel: 01-505910,tel: 09-250196188,tel: 09-254028877,tel: 09-262898925~9","20/22, Baho Rd., Corner of Lin Yaung Chi St.,Ward (3),"
Yangon Region,Insein(Insein),Gas Cookers & Accessories,Swan Arr Thit,"tel: 09-5087109,tel: 09-420037070,tel: 09-30090257","Yangon-Insein Rd.,Near Ka-Nya-Na Office,Gyoh Gone (West) Ward"
Yangon Region,Mayangone(Mayangone),Gas Cookers & Accessories,Super Top,"tel: 09-73633141,tel: 09-795496392,tel: 01-661284,tel: 09-5533141","80, Rm 5/6, Yangon-Insein Rd., No(3) Mining Office Compound, Ward (3),"
Yangon Region,Insein(Insein),Aluminium Frames & Furnitures,Kyae Mone,"tel: 01-646591,tel: 09-8640816,tel: 09-5133616","94 Shed, Rm 8/9/16/17, Pearl St., Sawbwargyi Gone Warehouses,"
Yangon Region,Hlaing Thar Yar(Hlaing Thar Yar),Groceries,Aye Thein [Ko],tel: 09-73243383,"25/A, Phoe Yarzar St., Ward (7),"
Yangon Region,Hlaing Thar Yar(Hlaing Thar Yar),Garment Industries,"MP Garment Co.,Ltd.","tel: 01-684578,tel: 01-685816","16, Phan Chet Wun U Shwe Oh St., Industrial Zone (2),"
Yangon Region,Insein(Insein),Groceries,Aye Thaung [U],tel: 09-32443561,"153/B, 6th St., Railways Staff Welfare Shop Room, Zay Gone (East) Ward,"
Yangon Region,Hlaing Thar Yar(Hlaing Thar Yar),Groceries,Aye Sandar Moe [Ma],tel: 09-977956145,"549/A, Nat Mauk St., Ward (10),"
Yangon Region,Hlaing Thar Yar(Hlaing Thar Yar),Groceries,Aye Thein [Daw],tel: 09-795747544,"359, Padaythar 3rd St., Ward (8),"
Yangon Region,Insein(Insein),Gas Cookers & Accessories,Solar,"tel: 09-965177942,tel: 09-420179296,tel: 09-5177942","773, Lower Mingalardon Rd., Aung San Ward,"
Yangon Region,Dagon Seikkan(Dagon Seikkan),Garment Industries,"Myanmar Mercury Garments Co.,Ltd.","tel: 01-592385,tel: 09-5018102,tel: 09-5503750","198/13, Yaw Ah Twin Wun U Pho Hlaing St., Industrial Zone,"
Yangon Region,Shwe Pyi Thar(Shwe Pyi Thar),Garment Industries,"Myanmar Luxury Group Co.,Ltd.","tel: 01-612560,tel: 09-254258924","42/16, Kanaung 2nd St., Industrial Zone (1),"
Yangon Region,Shwe Pyi Thar(Shwe Pyi Thar),Garment Industries,"Myanmar Skyrun Int'l Co.,Ltd.","tel: 09-5080663,tel: 09-972211120,tel: 09-790178171,tel: 09-965102513","64, Phan Chet Wun U Shwe Oh St., Industrial Zone (3),"
Yangon Region,Hlaing Thar Yar(Hlaing Thar Yar),Garment Industries,"Myanmar Liang Yida Co.,Ltd.","tel: 09-263442759,tel: 09-258499263,tel: 09-400437097","74, Than Lwin St., Shwe Than Lwin Industrial Zone,"
Yangon Region,Tarmwe(Tarmwe),Game Centres,One Seven,tel: 01-551232,"17, 157th St., Tarmway Gyee (Ka/Ga-Nge) Ward,"
Yangon Region,Hlaing Thar Yar(Hlaing Thar Yar),Game Centres,OK Zone,tel: 09-795944841,"388/A, Shwe Ou Daung St., Ward (1),"
Yangon Region,North Okkalapa (North Okkalapa ),Game Centres,OKA,"tel: 09-421183050,tel: 09-73168439","62, Oakkar St., Corner of Oakkar 4th St.,Ga Nge Ward,"
Yangon Region,Insein(Insein),Game Centres,Ohe Taung Thu,tel: 09-254140453,"142/B, 5th St., Railways Staff Welfare Shop Room, Zay Gone (East) Ward,"
Yangon Region,Insein(Insein),Game Centres,Nyo Win [U],tel: 09-421080958,"511, Shwe Kyee St., Sint Ngu Ward,"
Yangon Region,Mingalar Taung Nyunt(Mingalar Taung Nyunt),Gas Cookers & Accessories,Swan Arr,"tel: 09-5078828,tel: 09-5034108,tel: 09-795888350","127, Myanma Gone Yee St., Kan Daw Kalay (South) Ward,"
Yangon Region,Hlaing Thar Yar(Hlaing Thar Yar),Groceries,Aye Thaung [U],"tel: 09-251051659,tel: 09-250526218","Myin Taw Thar St., Ward (20),"
Yangon Region,Hlaing(Hlaing),Game Centres,Nyi Nyi,"tel: 09-73075976,tel: 09-31066971","91, Rm B/1, Thiri St., Ward (2),"
Yangon Region,Mayangone(Mayangone),Gear Pinion Repair,Than Zaw [Ko],"tel: 09-5088395,tel: 09-8629903,tel: 09-785088395","17 Shed, Rm 13, Bayint Naung Market,"
Yangon Region,East Dagon(East Dagon),Game Centres,Nyein [Daw],tel: 09-250010310,"709, Sel Myaung St., Ward (13),"
Yangon Region,Hlaing Thar Yar(Hlaing Thar Yar),Garment Industries,"Myanmar Liang Yi Oa Co.,Ltd.","tel: 09-400437097,tel: 09-263442759","74, Than Lwin St., Shwe Than Lwin Industrial Zone,"
Yangon Region,North Okkalapa (North Okkalapa ),Garment Industries,"Myanmar Integrated Communication & Trading Co.,Ltd.","tel: 01-9690002,tel: 01-9699376,tel: 01-9690001","25/30, Khay Mar Thi Rd., Industrial Zone,"
Yangon Region,Hlaing Thar Yar(Hlaing Thar Yar),Garment Industries,"Myanmar Last Star Co.,Ltd.","tel: 09-420181647,tel: 09-785019740","30, Kone Baung St., Industrial Zone (7),"
Yangon Region,Hlaing Thar Yar(Hlaing Thar Yar),Garment Industries,"Myanmar Huayi Co.,Ltd.","tel: 09-258087096,tel: 09-73135134","40, Min Theiddi Kyaw Swar St., Shwe Linban Industrial Zone,"
Yangon Region,Hlaing Thar Yar(Hlaing Thar Yar),Garment Industries,"Myanmar Hao Yang Int'l Garment Co.,Ltd.","tel: 09-425020982,tel: 09-263993685","497, Padauk St., Ward (23),"
Yangon Region,Thingangyun(Thingangyun),Groceries,Aye Thaung [Daw],tel: 09-428180710,"159, Sanpya 4th St., Sanpya Ward,"
Yangon Region,South Okkalapa (South Okkalapa ),Game Centres,Paragon,"tel: 09-972987762,tel: 09-799594236","1006,Innwa St.,Ward (6)"
Yangon Region,Sanchaung(Sanchaung),Gas Cookers & Accessories,Sun Shine,"tel: 01-503371,tel: 09-254241456,tel: 09-73030121","79, Kyun Taw Rd., Corner of Nga Pyaw Taw St.,Kyun Taw (North) Ward,"
Yangon Region,Lanmadaw(Lanmadaw),Game Centres,Nyi Zaw [Ko],tel: 09-448003295,"21/1, Phoe Yarzar St.,"
Yangon Region,Latha(Latha),Game Centres,Omega-11,"tel: 09-5171807,tel: 09-254110576","51, 1st Flr, Sint Oh Dan St., Lower Block,"
Yangon Region,Hlaing Thar Yar(Hlaing Thar Yar),Garment Industries,"Myue & Sue Garment Mfg Co.,Ltd.","tel: 01-705514,tel: 01-685225","82, Pyin Si Min Thar Gyi St., Industrial Zone (4),"
Yangon Region,Insein(Insein),Garment Industries,Myo [Ko] [KM],"tel: 09-5042634,tel: 09-785042634","514, 5th St.(South), Gyoh Gone (East) Ward,"
Yangon Region,East Dagon(East Dagon),Game Centres,OK,"tel: 09-425295588,tel: 09-260054175","355/B, Nawaday St., Ward (125),"
Yangon Region,South Dagon(South Dagon),Garment Industries,Myint Myat Thu,"tel: 09-8616792,tel: 09-794822006","69/70, Loikaw St., Industrial Zone 1,"
Yangon Region,Kamayut(Kamayut),Game Centres,Pann Shwe Pyay,"tel: 01-511830,tel: 01-511827","5/C, Zeyar Thiri St., Ward (1),"
Yangon Region,Kamayut(Kamayut),Garment Industries,"Myanstar Garment Co.,Ltd.","tel: 01-505572,tel: 09-73241040,tel: 01-523930~37 Ext.6301","Bldg E, Rm 301/302, 3rd Flr, Pyay Rd., Diamond Condo,"
Yangon Region,Thaketa(Thaketa),Garment Industries,Myint Htwe [Ko] + Cho Wai Wai [Ma],tel: 09-43152312,"3/A, Lel Yar 2nd St., Ward (10-North),"
Yangon Region,East Dagon(East Dagon),Garment Industries,Myat Tharaphu,"tel: 09-5005409,tel: 09-5111919","5/6, Taw Win St., University Avenue Housing,"
Yangon Region,Hlaing(Hlaing),Garment Industries,"Myat Gaday Co.,Ltd. [MG]","tel: 01-526975,tel: 09-5172408,tel: 09-5130286,tel: 09-5405893,tel: 09-73153497","99/B, 50th St., Ward (8),"
Yangon Region,South Dagon(South Dagon),Garment Industries,Myint Shwe Zin,"tel: 09-73245907,tel: 09-30172371,tel: 09-5130417","1316/1315, Myeik St., Ward (24),"
Yangon Region,South Dagon(South Dagon),Garment Industries,Myint Myint Thein [Daw],tel: 09-5067638,"1555, Latha 1st St., Industrial Zone (2),"
Yangon Region,South Dagon(South Dagon),Garment Industries,Myint Kyaw [U],tel: 01-591206,"259, Pan Laung 2nd St., Industrial Zone (2),"
Yangon Region,Shwe Pyi Thar(Shwe Pyi Thar),Garment Industries,Myint Win [U],"tel: 01-610711,tel: 09-450024659","860, Yadanar Thiri St., Near Chit Kaung Bus Stop, Ward (10),"
